Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 12,12,0.7583,0.0369,0.7554,WavLM,SAVEE,20
Layer 13,13,0.7708,0.0607,0.7655,WavLM,SAVEE,20
Layer 14,14,0.7625,0.0283,0.7592,WavLM,SAVEE,20
Layer 15,15,0.775,0.0276,0.7727,WavLM,SAVEE,20
Layer 16,16,0.775,0.0169,0.7742,WavLM,SAVEE,20
Layer 17,17,0.7667,0.0268,0.764,WavLM,SAVEE,20
Layer 18,18,0.7729,0.0386,0.7696,WavLM,SAVEE,20
Layer 19,19,0.7646,0.034,0.7593,WavLM,SAVEE,20
Layer 20,20,0.7521,0.0424,0.7471,WavLM,SAVEE,20
Layer 21,21,0.7479,0.0525,0.7443,WavLM,SAVEE,20
Layer 22,22,0.7271,0.0686,0.7249,WavLM,SAVEE,20
Layer 23,23,0.6958,0.0363,0.6912,WavLM,SAVEE,20
Layer 24,24,0.6812,0.061,0.678,WavLM,SAVEE,20
CNN,0,0.3917,0.0306,0.3892,WavLM,SAVEE,5
Layer 1,1,0.4396,0.0463,0.4338,WavLM,SAVEE,5
Layer 2,2,0.475,0.0409,0.4673,WavLM,SAVEE,5
Layer 3,3,0.4812,0.0429,0.4736,WavLM,SAVEE,5
Layer 4,4,0.4875,0.0564,0.4795,WavLM,SAVEE,5
Layer 5,5,0.5188,0.0545,0.509,WavLM,SAVEE,5
Layer 6,6,0.5021,0.0472,0.4905,WavLM,SAVEE,5
Layer 7,7,0.4604,0.0495,0.4496,WavLM,SAVEE,5
Layer 8,8,0.4917,0.0332,0.4858,WavLM,SAVEE,5
Layer 9,9,0.4875,0.0408,0.4772,WavLM,SAVEE,5
Layer 10,10,0.4729,0.0352,0.4657,WavLM,SAVEE,5
Layer 11,11,0.4875,0.0375,0.4787,WavLM,SAVEE,5
Layer 12,12,0.4583,0.0238,0.4488,WavLM,SAVEE,5
Layer 13,13,0.4708,0.0692,0.4637,WavLM,SAVEE,5
Layer 14,14,0.4583,0.0355,0.453,WavLM,SAVEE,5
Layer 15,15,0.4479,0.0255,0.4374,WavLM,SAVEE,5
Layer 16,16,0.4521,0.0624,0.4469,WavLM,SAVEE,5
Layer 17,17,0.4708,0.0503,0.4679,WavLM,SAVEE,5
Layer 18,18,0.4583,0.0367,0.4575,WavLM,SAVEE,5
Layer 19,19,0.4604,0.0424,0.4564,WavLM,SAVEE,5
Layer 20,20,0.4458,0.0444,0.4411,WavLM,SAVEE,5
Layer 21,21,0.4583,0.0367,0.4542,WavLM,SAVEE,5
Layer 22,22,0.4333,0.0106,0.427,WavLM,SAVEE,5
Layer 23,23,0.4042,0.0267,0.3931,WavLM,SAVEE,5
Layer 24,24,0.3896,0.0478,0.3787,WavLM,SAVEE,5
