Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 8,8,0.8461,0.0175,0.8458,w2v-BERT,AESDD,20
Layer 9,9,0.8757,0.0374,0.8751,w2v-BERT,AESDD,20
Layer 10,10,0.8642,0.0393,0.8636,w2v-BERT,AESDD,20
Layer 11,11,0.8592,0.0346,0.8587,w2v-BERT,AESDD,20
Layer 12,12,0.8245,0.0334,0.8235,w2v-BERT,AESDD,20
Layer 13,13,0.7963,0.0229,0.7951,w2v-BERT,AESDD,20
Layer 14,14,0.8278,0.0372,0.8264,w2v-BERT,AESDD,20
Layer 15,15,0.8691,0.0332,0.8684,w2v-BERT,AESDD,20
Layer 16,16,0.9122,0.0181,0.9118,w2v-BERT,AESDD,20
Layer 17,17,0.9305,0.0192,0.9302,w2v-BERT,AESDD,20
Layer 18,18,0.9057,0.0328,0.9057,w2v-BERT,AESDD,20
Layer 19,19,0.8825,0.0204,0.8822,w2v-BERT,AESDD,20
Layer 20,20,0.8693,0.0222,0.8696,w2v-BERT,AESDD,20
Layer 21,21,0.8096,0.0219,0.809,w2v-BERT,AESDD,20
Layer 22,22,0.7418,0.0275,0.7387,w2v-BERT,AESDD,20
Layer 23,23,0.6954,0.0311,0.6923,w2v-BERT,AESDD,20
Layer 24,24,0.6143,0.0535,0.6134,w2v-BERT,AESDD,20
CNN,0,0.2649,0.0403,0.262,w2v-BERT,AESDD,5
Layer 1,1,0.5182,0.0266,0.5177,w2v-BERT,AESDD,5
Layer 2,2,0.6308,0.0275,0.6313,w2v-BERT,AESDD,5
Layer 3,3,0.7682,0.0189,0.7665,w2v-BERT,AESDD,5
Layer 4,4,0.8526,0.0155,0.8507,w2v-BERT,AESDD,5
Layer 5,5,0.8659,0.0177,0.8649,w2v-BERT,AESDD,5
Layer 6,6,0.8278,0.0162,0.8268,w2v-BERT,AESDD,5
Layer 7,7,0.8344,0.0182,0.8338,w2v-BERT,AESDD,5
Layer 8,8,0.7898,0.0198,0.7879,w2v-BERT,AESDD,5
Layer 9,9,0.846,0.0341,0.8448,w2v-BERT,AESDD,5
Layer 10,10,0.8128,0.0498,0.812,w2v-BERT,AESDD,5
Layer 11,11,0.7598,0.0394,0.7567,w2v-BERT,AESDD,5
Layer 12,12,0.7267,0.0302,0.7252,w2v-BERT,AESDD,5
Layer 13,13,0.7186,0.0325,0.7162,w2v-BERT,AESDD,5
Layer 14,14,0.755,0.0307,0.7529,w2v-BERT,AESDD,5
Layer 15,15,0.7831,0.0225,0.781,w2v-BERT,AESDD,5
Layer 16,16,0.8559,0.0236,0.8548,w2v-BERT,AESDD,5
Layer 17,17,0.884,0.0271,0.8835,w2v-BERT,AESDD,5
Layer 18,18,0.8527,0.0141,0.8519,w2v-BERT,AESDD,5
Layer 19,19,0.8046,0.0274,0.8043,w2v-BERT,AESDD,5
Layer 20,20,0.7831,0.0352,0.7828,w2v-BERT,AESDD,5
Layer 21,21,0.7302,0.048,0.7281,w2v-BERT,AESDD,5
Layer 22,22,0.6937,0.0316,0.6911,w2v-BERT,AESDD,5
Layer 23,23,0.6259,0.0315,0.6233,w2v-BERT,AESDD,5
Layer 24,24,0.5365,0.022,0.5343,w2v-BERT,AESDD,5
