Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 5,5,0.7755,0.0256,0.7749,wav2vec2,RAVDESS,20
Layer 6,6,0.807,0.0193,0.8065,wav2vec2,RAVDESS,20
Layer 7,7,0.8199,0.0177,0.8193,wav2vec2,RAVDESS,20
Layer 8,8,0.823,0.0163,0.8224,wav2vec2,RAVDESS,20
Layer 9,9,0.8264,0.0177,0.8256,wav2vec2,RAVDESS,20
Layer 10,10,0.8212,0.0262,0.8205,wav2vec2,RAVDESS,20
Layer 11,11,0.8316,0.0208,0.8313,wav2vec2,RAVDESS,20
Layer 12,12,0.8256,0.0089,0.8254,wav2vec2,RAVDESS,20
Layer 13,13,0.8187,0.0111,0.8187,wav2vec2,RAVDESS,20
Layer 14,14,0.8117,0.0123,0.8112,wav2vec2,RAVDESS,20
Layer 15,15,0.8057,0.0233,0.8049,wav2vec2,RAVDESS,20
Layer 16,16,0.7979,0.0089,0.7968,wav2vec2,RAVDESS,20
Layer 17,17,0.7776,0.0159,0.7776,wav2vec2,RAVDESS,20
Layer 18,18,0.7336,0.0266,0.7331,wav2vec2,RAVDESS,20
Layer 19,19,0.7237,0.0157,0.7236,wav2vec2,RAVDESS,20
Layer 20,20,0.7211,0.011,0.7207,wav2vec2,RAVDESS,20
Layer 21,21,0.7375,0.0104,0.7377,wav2vec2,RAVDESS,20
Layer 22,22,0.7016,0.009,0.7017,wav2vec2,RAVDESS,20
Layer 23,23,0.6395,0.0262,0.6401,wav2vec2,RAVDESS,20
Layer 24,24,0.5794,0.0131,0.5786,wav2vec2,RAVDESS,20
CNN,0,0.4417,0.0174,0.4397,wav2vec2,RAVDESS,5
Layer 1,1,0.4849,0.0281,0.4846,wav2vec2,RAVDESS,5
Layer 2,2,0.5177,0.0225,0.517,wav2vec2,RAVDESS,5
Layer 3,3,0.5579,0.0415,0.5566,wav2vec2,RAVDESS,5
Layer 4,4,0.5661,0.0387,0.5656,wav2vec2,RAVDESS,5
Layer 5,5,0.6097,0.0187,0.6087,wav2vec2,RAVDESS,5
Layer 6,6,0.6339,0.026,0.6323,wav2vec2,RAVDESS,5
Layer 7,7,0.6537,0.0181,0.6525,wav2vec2,RAVDESS,5
Layer 8,8,0.677,0.0265,0.6767,wav2vec2,RAVDESS,5
Layer 9,9,0.6788,0.0159,0.6775,wav2vec2,RAVDESS,5
Layer 10,10,0.6736,0.0071,0.672,wav2vec2,RAVDESS,5
Layer 11,11,0.6732,0.0229,0.672,wav2vec2,RAVDESS,5
Layer 12,12,0.6615,0.017,0.6614,wav2vec2,RAVDESS,5
Layer 13,13,0.6481,0.0162,0.6481,wav2vec2,RAVDESS,5
Layer 14,14,0.6356,0.0284,0.6363,wav2vec2,RAVDESS,5
Layer 15,15,0.6425,0.0217,0.6427,wav2vec2,RAVDESS,5
Layer 16,16,0.6464,0.0235,0.6467,wav2vec2,RAVDESS,5
Layer 17,17,0.6187,0.0202,0.6185,wav2vec2,RAVDESS,5
Layer 18,18,0.6054,0.0147,0.6046,wav2vec2,RAVDESS,5
Layer 19,19,0.5941,0.0133,0.594,wav2vec2,RAVDESS,5
Layer 20,20,0.5859,0.0183,0.5863,wav2vec2,RAVDESS,5
Layer 21,21,0.5579,0.0098,0.5583,wav2vec2,RAVDESS,5
Layer 22,22,0.5237,0.005,0.5248,wav2vec2,RAVDESS,5
Layer 23,23,0.4426,0.0189,0.4433,wav2vec2,RAVDESS,5
Layer 24,24,0.3933,0.0192,0.3929,wav2vec2,RAVDESS,5
