Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 15,15,0.5729,0.0456,0.5663,MERT,SAVEE,20
Layer 16,16,0.5792,0.0464,0.5706,MERT,SAVEE,20
Layer 17,17,0.5812,0.0312,0.5704,MERT,SAVEE,20
Layer 18,18,0.5583,0.0284,0.5505,MERT,SAVEE,20
Layer 19,19,0.5292,0.0283,0.5202,MERT,SAVEE,20
Layer 20,20,0.5229,0.0222,0.5128,MERT,SAVEE,20
Layer 21,21,0.5333,0.029,0.5222,MERT,SAVEE,20
Layer 22,22,0.5271,0.0125,0.5182,MERT,SAVEE,20
Layer 23,23,0.5333,0.0369,0.5254,MERT,SAVEE,20
Layer 24,24,0.5292,0.0153,0.5198,MERT,SAVEE,20
CNN,0,0.3521,0.0179,0.3483,MERT,SAVEE,5
Layer 1,1,0.3521,0.0283,0.3494,MERT,SAVEE,5
Layer 2,2,0.3688,0.034,0.3663,MERT,SAVEE,5
Layer 3,3,0.4188,0.0325,0.4175,MERT,SAVEE,5
Layer 4,4,0.4479,0.0489,0.4442,MERT,SAVEE,5
Layer 5,5,0.4583,0.0489,0.4492,MERT,SAVEE,5
Layer 6,6,0.4854,0.0409,0.4727,MERT,SAVEE,5
Layer 7,7,0.4688,0.0427,0.4569,MERT,SAVEE,5
Layer 8,8,0.4396,0.0357,0.4313,MERT,SAVEE,5
Layer 9,9,0.4542,0.0542,0.4474,MERT,SAVEE,5
Layer 10,10,0.4667,0.0657,0.457,MERT,SAVEE,5
Layer 11,11,0.4271,0.0411,0.4246,MERT,SAVEE,5
Layer 12,12,0.4229,0.0521,0.4147,MERT,SAVEE,5
Layer 13,13,0.4208,0.0577,0.41,MERT,SAVEE,5
Layer 14,14,0.4042,0.0241,0.4003,MERT,SAVEE,5
Layer 15,15,0.4188,0.0267,0.4127,MERT,SAVEE,5
Layer 16,16,0.4229,0.0313,0.4175,MERT,SAVEE,5
Layer 17,17,0.3958,0.0186,0.3907,MERT,SAVEE,5
Layer 18,18,0.3938,0.0202,0.3861,MERT,SAVEE,5
Layer 19,19,0.3958,0.0198,0.3868,MERT,SAVEE,5
Layer 20,20,0.3979,0.0167,0.3865,MERT,SAVEE,5
Layer 21,21,0.3687,0.0327,0.3601,MERT,SAVEE,5
Layer 22,22,0.3687,0.0234,0.3583,MERT,SAVEE,5
Layer 23,23,0.3688,0.0376,0.3552,MERT,SAVEE,5
Layer 24,24,0.3792,0.0504,0.3644,MERT,SAVEE,5
