Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 8,8,0.9458,0.0037,0.9454,wav2vec2,EmoDB,20
Layer 9,9,0.9308,0.0192,0.9299,wav2vec2,EmoDB,20
Layer 10,10,0.9383,0.0241,0.9377,wav2vec2,EmoDB,20
Layer 11,11,0.9327,0.0298,0.9315,wav2vec2,EmoDB,20
Layer 12,12,0.8935,0.0255,0.8911,wav2vec2,EmoDB,20
Layer 13,13,0.8991,0.0273,0.8978,wav2vec2,EmoDB,20
Layer 14,14,0.8991,0.0232,0.8958,wav2vec2,EmoDB,20
Layer 15,15,0.8879,0.0177,0.8855,wav2vec2,EmoDB,20
Layer 16,16,0.8804,0.0216,0.878,wav2vec2,EmoDB,20
Layer 17,17,0.871,0.0298,0.8675,wav2vec2,EmoDB,20
Layer 18,18,0.8523,0.0273,0.8483,wav2vec2,EmoDB,20
Layer 19,19,0.8243,0.0496,0.8215,wav2vec2,EmoDB,20
Layer 20,20,0.8318,0.0378,0.827,wav2vec2,EmoDB,20
Layer 21,21,0.7589,0.0403,0.756,wav2vec2,EmoDB,20
Layer 22,22,0.7178,0.0161,0.7161,wav2vec2,EmoDB,20
Layer 23,23,0.6542,0.0307,0.6494,wav2vec2,EmoDB,20
Layer 24,24,0.5252,0.0352,0.5162,wav2vec2,EmoDB,20
CNN,0,0.6393,0.0348,0.6366,wav2vec2,EmoDB,5
Layer 1,1,0.7084,0.038,0.7069,wav2vec2,EmoDB,5
Layer 2,2,0.7327,0.0281,0.73,wav2vec2,EmoDB,5
Layer 3,3,0.7682,0.0191,0.765,wav2vec2,EmoDB,5
Layer 4,4,0.8374,0.0316,0.8328,wav2vec2,EmoDB,5
Layer 5,5,0.8262,0.0226,0.8241,wav2vec2,EmoDB,5
Layer 6,6,0.8598,0.0221,0.8591,wav2vec2,EmoDB,5
Layer 7,7,0.8822,0.0163,0.8804,wav2vec2,EmoDB,5
Layer 8,8,0.8561,0.0348,0.8549,wav2vec2,EmoDB,5
Layer 9,9,0.8486,0.0411,0.8457,wav2vec2,EmoDB,5
Layer 10,10,0.8449,0.0381,0.8416,wav2vec2,EmoDB,5
Layer 11,11,0.8579,0.0216,0.8543,wav2vec2,EmoDB,5
Layer 12,12,0.8206,0.0326,0.8164,wav2vec2,EmoDB,5
Layer 13,13,0.8037,0.0132,0.7986,wav2vec2,EmoDB,5
Layer 14,14,0.7907,0.0241,0.7845,wav2vec2,EmoDB,5
Layer 15,15,0.8,0.0095,0.7941,wav2vec2,EmoDB,5
Layer 16,16,0.7682,0.0191,0.7611,wav2vec2,EmoDB,5
Layer 17,17,0.7645,0.0309,0.7572,wav2vec2,EmoDB,5
Layer 18,18,0.7664,0.029,0.7595,wav2vec2,EmoDB,5
Layer 19,19,0.7234,0.0268,0.7182,wav2vec2,EmoDB,5
Layer 20,20,0.6953,0.0268,0.6887,wav2vec2,EmoDB,5
Layer 21,21,0.6486,0.0327,0.6418,wav2vec2,EmoDB,5
Layer 22,22,0.6131,0.0262,0.6048,wav2vec2,EmoDB,5
Layer 23,23,0.5383,0.066,0.5359,wav2vec2,EmoDB,5
Layer 24,24,0.4505,0.0304,0.4414,wav2vec2,EmoDB,5
