Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 10,10,0.7796,0.0293,0.7805,w2v-BERT,MESD,20
Layer 11,11,0.7436,0.0122,0.743,w2v-BERT,MESD,20
Layer 12,12,0.6914,0.0201,0.6905,w2v-BERT,MESD,20
Layer 13,13,0.688,0.0379,0.687,w2v-BERT,MESD,20
Layer 14,14,0.7146,0.02,0.7144,w2v-BERT,MESD,20
Layer 15,15,0.7448,0.0259,0.7438,w2v-BERT,MESD,20
Layer 16,16,0.8144,0.0207,0.8135,w2v-BERT,MESD,20
Layer 17,17,0.8271,0.0162,0.8258,w2v-BERT,MESD,20
Layer 18,18,0.8411,0.0331,0.8397,w2v-BERT,MESD,20
Layer 19,19,0.819,0.0183,0.819,w2v-BERT,MESD,20
Layer 20,20,0.7912,0.0336,0.79,w2v-BERT,MESD,20
Layer 21,21,0.768,0.0476,0.766,w2v-BERT,MESD,20
Layer 22,22,0.7112,0.0371,0.7092,w2v-BERT,MESD,20
Layer 23,23,0.6717,0.0311,0.6719,w2v-BERT,MESD,20
Layer 24,24,0.6161,0.0336,0.6159,w2v-BERT,MESD,20
CNN,0,0.1845,0.0234,0.1846,w2v-BERT,MESD,5
Layer 1,1,0.5442,0.0544,0.5406,w2v-BERT,MESD,5
Layer 2,2,0.6625,0.0374,0.6625,w2v-BERT,MESD,5
Layer 3,3,0.7263,0.0209,0.726,w2v-BERT,MESD,5
Layer 4,4,0.7356,0.0289,0.7352,w2v-BERT,MESD,5
Layer 5,5,0.717,0.0332,0.7186,w2v-BERT,MESD,5
Layer 6,6,0.6996,0.0292,0.6996,w2v-BERT,MESD,5
Layer 7,7,0.7263,0.0246,0.7258,w2v-BERT,MESD,5
Layer 8,8,0.7053,0.0242,0.706,w2v-BERT,MESD,5
Layer 9,9,0.7228,0.0204,0.7226,w2v-BERT,MESD,5
Layer 10,10,0.7158,0.0318,0.7149,w2v-BERT,MESD,5
Layer 11,11,0.6486,0.0303,0.6483,w2v-BERT,MESD,5
Layer 12,12,0.6172,0.0186,0.6178,w2v-BERT,MESD,5
Layer 13,13,0.5801,0.0355,0.5814,w2v-BERT,MESD,5
Layer 14,14,0.6451,0.0314,0.6437,w2v-BERT,MESD,5
Layer 15,15,0.6474,0.0151,0.6468,w2v-BERT,MESD,5
Layer 16,16,0.6892,0.0424,0.6884,w2v-BERT,MESD,5
Layer 17,17,0.7355,0.0295,0.7352,w2v-BERT,MESD,5
Layer 18,18,0.6972,0.0169,0.6961,w2v-BERT,MESD,5
Layer 19,19,0.6891,0.019,0.6896,w2v-BERT,MESD,5
Layer 20,20,0.6833,0.0227,0.681,w2v-BERT,MESD,5
Layer 21,21,0.6241,0.0132,0.6222,w2v-BERT,MESD,5
Layer 22,22,0.6219,0.0315,0.6202,w2v-BERT,MESD,5
Layer 23,23,0.5825,0.0434,0.5818,w2v-BERT,MESD,5
Layer 24,24,0.5094,0.0311,0.5069,w2v-BERT,MESD,5
