Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 6,6,0.7167,0.0408,0.7153,w2v-BERT,SAVEE,20
Layer 7,7,0.7271,0.0319,0.7207,w2v-BERT,SAVEE,20
Layer 8,8,0.65,0.0399,0.6453,w2v-BERT,SAVEE,20
Layer 9,9,0.7167,0.0357,0.7124,w2v-BERT,SAVEE,20
Layer 10,10,0.6729,0.0292,0.6703,w2v-BERT,SAVEE,20
Layer 11,11,0.6542,0.0369,0.6513,w2v-BERT,SAVEE,20
Layer 12,12,0.6667,0.0607,0.6609,w2v-BERT,SAVEE,20
Layer 13,13,0.6583,0.0167,0.6508,w2v-BERT,SAVEE,20
Layer 14,14,0.6688,0.0212,0.6631,w2v-BERT,SAVEE,20
Layer 15,15,0.6708,0.0538,0.6635,w2v-BERT,SAVEE,20
Layer 16,16,0.6812,0.0299,0.6758,w2v-BERT,SAVEE,20
Layer 17,17,0.7312,0.0695,0.7291,w2v-BERT,SAVEE,20
Layer 18,18,0.6688,0.0594,0.6612,w2v-BERT,SAVEE,20
Layer 19,19,0.6375,0.0444,0.6318,w2v-BERT,SAVEE,20
Layer 20,20,0.6,0.0546,0.5909,w2v-BERT,SAVEE,20
Layer 21,21,0.5521,0.0642,0.5414,w2v-BERT,SAVEE,20
Layer 22,22,0.5208,0.0582,0.5101,w2v-BERT,SAVEE,20
Layer 23,23,0.4771,0.0332,0.469,w2v-BERT,SAVEE,20
Layer 24,24,0.4,0.062,0.3907,w2v-BERT,SAVEE,20
CNN,0,0.1958,0.0325,0.1935,w2v-BERT,SAVEE,5
Layer 1,1,0.4062,0.0523,0.4014,w2v-BERT,SAVEE,5
Layer 2,2,0.4708,0.0298,0.4635,w2v-BERT,SAVEE,5
Layer 3,3,0.5562,0.032,0.551,w2v-BERT,SAVEE,5
Layer 4,4,0.5688,0.0404,0.561,w2v-BERT,SAVEE,5
Layer 5,5,0.5979,0.044,0.5896,w2v-BERT,SAVEE,5
Layer 6,6,0.6042,0.0519,0.5995,w2v-BERT,SAVEE,5
Layer 7,7,0.5958,0.0283,0.5811,w2v-BERT,SAVEE,5
Layer 8,8,0.5312,0.0563,0.5262,w2v-BERT,SAVEE,5
Layer 9,9,0.6312,0.0404,0.6264,w2v-BERT,SAVEE,5
Layer 10,10,0.5958,0.0357,0.5915,w2v-BERT,SAVEE,5
Layer 11,11,0.5688,0.0376,0.562,w2v-BERT,SAVEE,5
Layer 12,12,0.5604,0.0663,0.5536,w2v-BERT,SAVEE,5
Layer 13,13,0.5438,0.0564,0.5349,w2v-BERT,SAVEE,5
Layer 14,14,0.5958,0.0283,0.5874,w2v-BERT,SAVEE,5
Layer 15,15,0.5958,0.0549,0.5872,w2v-BERT,SAVEE,5
Layer 16,16,0.5979,0.0404,0.5936,w2v-BERT,SAVEE,5
Layer 17,17,0.625,0.0378,0.6201,w2v-BERT,SAVEE,5
Layer 18,18,0.5438,0.0463,0.5281,w2v-BERT,SAVEE,5
Layer 19,19,0.4958,0.0478,0.4808,w2v-BERT,SAVEE,5
Layer 20,20,0.4875,0.0232,0.4768,w2v-BERT,SAVEE,5
Layer 21,21,0.4458,0.0512,0.4323,w2v-BERT,SAVEE,5
Layer 22,22,0.4167,0.0198,0.4072,w2v-BERT,SAVEE,5
Layer 23,23,0.3667,0.0583,0.358,w2v-BERT,SAVEE,5
Layer 24,24,0.2708,0.0452,0.2642,w2v-BERT,SAVEE,5
