Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 7,7,0.7083,0.0497,0.7014,wav2vec2,SAVEE,20
Layer 8,8,0.7292,0.0497,0.7265,wav2vec2,SAVEE,20
Layer 9,9,0.7458,0.0268,0.7424,wav2vec2,SAVEE,20
Layer 10,10,0.7458,0.0599,0.7441,wav2vec2,SAVEE,20
Layer 11,11,0.7396,0.0422,0.7364,wav2vec2,SAVEE,20
Layer 12,12,0.7521,0.0369,0.748,wav2vec2,SAVEE,20
Layer 13,13,0.7604,0.048,0.7598,wav2vec2,SAVEE,20
Layer 14,14,0.7521,0.0561,0.7491,wav2vec2,SAVEE,20
Layer 15,15,0.7521,0.0468,0.7505,wav2vec2,SAVEE,20
Layer 16,16,0.7458,0.0382,0.7423,wav2vec2,SAVEE,20
Layer 17,17,0.75,0.0316,0.7467,wav2vec2,SAVEE,20
Layer 18,18,0.7042,0.0358,0.7015,wav2vec2,SAVEE,20
Layer 19,19,0.725,0.0268,0.7239,wav2vec2,SAVEE,20
Layer 20,20,0.6979,0.0349,0.6965,wav2vec2,SAVEE,20
Layer 21,21,0.6562,0.0669,0.6529,wav2vec2,SAVEE,20
Layer 22,22,0.6375,0.0449,0.6354,wav2vec2,SAVEE,20
Layer 23,23,0.5854,0.0541,0.5856,wav2vec2,SAVEE,20
Layer 24,24,0.4438,0.0654,0.4374,wav2vec2,SAVEE,20
CNN,0,0.3479,0.0664,0.3391,wav2vec2,SAVEE,5
Layer 1,1,0.3771,0.0926,0.366,wav2vec2,SAVEE,5
Layer 2,2,0.4125,0.045,0.4038,wav2vec2,SAVEE,5
Layer 3,3,0.4438,0.0478,0.4374,wav2vec2,SAVEE,5
Layer 4,4,0.4604,0.0741,0.4504,wav2vec2,SAVEE,5
Layer 5,5,0.4708,0.0811,0.4626,wav2vec2,SAVEE,5
Layer 6,6,0.4688,0.0669,0.4604,wav2vec2,SAVEE,5
Layer 7,7,0.5062,0.0504,0.4928,wav2vec2,SAVEE,5
Layer 8,8,0.5208,0.0401,0.5111,wav2vec2,SAVEE,5
Layer 9,9,0.5375,0.045,0.5342,wav2vec2,SAVEE,5
Layer 10,10,0.5479,0.061,0.5408,wav2vec2,SAVEE,5
Layer 11,11,0.5229,0.0525,0.5099,wav2vec2,SAVEE,5
Layer 12,12,0.5625,0.0649,0.561,wav2vec2,SAVEE,5
Layer 13,13,0.5562,0.0352,0.5563,wav2vec2,SAVEE,5
Layer 14,14,0.5729,0.0578,0.5689,wav2vec2,SAVEE,5
Layer 15,15,0.6062,0.0434,0.5987,wav2vec2,SAVEE,5
Layer 16,16,0.5812,0.0529,0.5748,wav2vec2,SAVEE,5
Layer 17,17,0.5375,0.0469,0.5328,wav2vec2,SAVEE,5
Layer 18,18,0.5,0.0437,0.4906,wav2vec2,SAVEE,5
Layer 19,19,0.5042,0.042,0.5005,wav2vec2,SAVEE,5
Layer 20,20,0.4667,0.0429,0.4669,wav2vec2,SAVEE,5
Layer 21,21,0.4479,0.0632,0.4436,wav2vec2,SAVEE,5
Layer 22,22,0.4146,0.0495,0.4051,wav2vec2,SAVEE,5
Layer 23,23,0.3604,0.0577,0.3552,wav2vec2,SAVEE,5
Layer 24,24,0.2708,0.0309,0.2666,wav2vec2,SAVEE,5
