Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.8592,0.0172,0.8596,WavLM,RAVDESS,clean
Layer 1,1,0.9296,0.0149,0.9296,WavLM,RAVDESS,clean
Layer 2,2,0.9335,0.01,0.9335,WavLM,RAVDESS,clean
Layer 3,3,0.9499,0.0091,0.9502,WavLM,RAVDESS,clean
Layer 4,4,0.9529,0.0129,0.9529,WavLM,RAVDESS,clean
Layer 5,5,0.9542,0.0139,0.9542,WavLM,RAVDESS,clean
Layer 6,6,0.9607,0.0112,0.9608,WavLM,RAVDESS,clean
Layer 7,7,0.9616,0.0099,0.9616,WavLM,RAVDESS,clean
Layer 8,8,0.9603,0.0093,0.9603,WavLM,RAVDESS,clean
Layer 9,9,0.9663,0.0113,0.9663,WavLM,RAVDESS,clean
Layer 10,10,0.9702,0.0044,0.9702,WavLM,RAVDESS,clean
Layer 11,11,0.9663,0.0062,0.9664,WavLM,RAVDESS,clean
Layer 12,12,0.9698,0.0088,0.9699,WavLM,RAVDESS,clean
Layer 13,13,0.9693,0.0105,0.9694,WavLM,RAVDESS,clean
Layer 14,14,0.9672,0.0126,0.9673,WavLM,RAVDESS,clean
Layer 15,15,0.9672,0.0141,0.9673,WavLM,RAVDESS,clean
Layer 16,16,0.9655,0.0133,0.9656,WavLM,RAVDESS,clean
Layer 17,17,0.962,0.0129,0.9621,WavLM,RAVDESS,clean
Layer 18,18,0.9559,0.0137,0.9561,WavLM,RAVDESS,clean
Layer 19,19,0.962,0.0082,0.962,WavLM,RAVDESS,clean
Layer 20,20,0.9568,0.0134,0.9569,WavLM,RAVDESS,clean
Layer 21,21,0.9555,0.0082,0.9556,WavLM,RAVDESS,clean
Layer 22,22,0.956,0.0112,0.956,WavLM,RAVDESS,clean
Layer 23,23,0.9482,0.0113,0.9481,WavLM,RAVDESS,clean
Layer 24,24,0.946,0.0147,0.9462,WavLM,RAVDESS,clean
CNN,0,0.3523,0.0187,0.3492,WavLM,RAVDESS,0
Layer 1,1,0.4391,0.0206,0.4384,WavLM,RAVDESS,0
Layer 2,2,0.4944,0.009,0.4924,WavLM,RAVDESS,0
Layer 3,3,0.5514,0.0199,0.5494,WavLM,RAVDESS,0
Layer 4,4,0.5475,0.0128,0.5463,WavLM,RAVDESS,0
Layer 5,5,0.5488,0.0118,0.5478,WavLM,RAVDESS,0
Layer 6,6,0.5376,0.0248,0.5368,WavLM,RAVDESS,0
Layer 7,7,0.5324,0.0326,0.5314,WavLM,RAVDESS,0
Layer 8,8,0.5233,0.0379,0.5225,WavLM,RAVDESS,0
Layer 9,9,0.5194,0.016,0.5178,WavLM,RAVDESS,0
Layer 10,10,0.5138,0.0292,0.5129,WavLM,RAVDESS,0
Layer 11,11,0.5168,0.0264,0.5165,WavLM,RAVDESS,0
Layer 12,12,0.5052,0.0204,0.5059,WavLM,RAVDESS,0
Layer 13,13,0.4961,0.0206,0.4961,WavLM,RAVDESS,0
Layer 14,14,0.4797,0.0152,0.4802,WavLM,RAVDESS,0
Layer 15,15,0.4681,0.0221,0.4676,WavLM,RAVDESS,0
Layer 16,16,0.4642,0.0172,0.4642,WavLM,RAVDESS,0
Layer 17,17,0.4538,0.0284,0.4528,WavLM,RAVDESS,0
Layer 18,18,0.4473,0.0205,0.4461,WavLM,RAVDESS,0
Layer 19,19,0.4314,0.0205,0.4305,WavLM,RAVDESS,0
Layer 20,20,0.4339,0.0193,0.4341,WavLM,RAVDESS,0
Layer 21,21,0.4326,0.0206,0.4332,WavLM,RAVDESS,0
Layer 22,22,0.3912,0.0182,0.3907,WavLM,RAVDESS,0
Layer 23,23,0.3662,0.0156,0.3643,WavLM,RAVDESS,0
Layer 24,24,0.3679,0.0232,0.3668,WavLM,RAVDESS,0
CNN,0,0.4663,0.0135,0.4642,WavLM,RAVDESS,10
Layer 1,1,0.5868,0.0217,0.5849,WavLM,RAVDESS,10
Layer 2,2,0.6628,0.0122,0.6626,WavLM,RAVDESS,10
Layer 3,3,0.7215,0.0182,0.7209,WavLM,RAVDESS,10
Layer 4,4,0.7284,0.0248,0.7278,WavLM,RAVDESS,10
Layer 5,5,0.744,0.0256,0.7435,WavLM,RAVDESS,10
Layer 6,6,0.7612,0.0288,0.761,WavLM,RAVDESS,10
Layer 7,7,0.763,0.012,0.7621,WavLM,RAVDESS,10
Layer 8,8,0.7681,0.017,0.7674,WavLM,RAVDESS,10
Layer 9,9,0.7897,0.0156,0.7894,WavLM,RAVDESS,10
Layer 10,10,0.7807,0.0175,0.7805,WavLM,RAVDESS,10
Layer 11,11,0.8001,0.0163,0.8,WavLM,RAVDESS,10
Layer 12,12,0.7941,0.0195,0.7943,WavLM,RAVDESS,10
Layer 13,13,0.7863,0.0295,0.7861,WavLM,RAVDESS,10
Layer 14,14,0.7733,0.0279,0.7726,WavLM,RAVDESS,10
Layer 15,15,0.7638,0.0244,0.7643,WavLM,RAVDESS,10
Layer 16,16,0.7457,0.0273,0.7454,WavLM,RAVDESS,10
Layer 17,17,0.7427,0.0254,0.743,WavLM,RAVDESS,10
Layer 18,18,0.7263,0.0208,0.7261,WavLM,RAVDESS,10
Layer 19,19,0.7202,0.0234,0.7194,WavLM,RAVDESS,10
Layer 20,20,0.715,0.023,0.7143,WavLM,RAVDESS,10
Layer 21,21,0.7021,0.0159,0.7007,WavLM,RAVDESS,10
Layer 22,22,0.6792,0.0158,0.679,WavLM,RAVDESS,10
Layer 23,23,0.6442,0.0181,0.6438,WavLM,RAVDESS,10
Layer 24,24,0.6174,0.02,0.6182,WavLM,RAVDESS,10
CNN,0,0.5566,0.0168,0.5553,WavLM,RAVDESS,20
Layer 1,1,0.6917,0.0265,0.6908,WavLM,RAVDESS,20
Layer 2,2,0.7617,0.0232,0.7615,WavLM,RAVDESS,20
Layer 3,3,0.8092,0.0261,0.8087,WavLM,RAVDESS,20
Layer 4,4,0.8182,0.0298,0.8174,WavLM,RAVDESS,20
Layer 5,5,0.8247,0.0335,0.8239,WavLM,RAVDESS,20
Layer 6,6,0.8657,0.0213,0.865,WavLM,RAVDESS,20
Layer 7,7,0.8674,0.0172,0.8672,WavLM,RAVDESS,20
Layer 8,8,0.8791,0.0258,0.8792,WavLM,RAVDESS,20
Layer 9,9,0.9007,0.0157,0.9007,WavLM,RAVDESS,20
Layer 10,10,0.9063,0.0147,0.9062,WavLM,RAVDESS,20
Layer 11,11,0.9197,0.0147,0.9198,WavLM,RAVDESS,20
Layer 12,12,0.9136,0.016,0.9136,WavLM,RAVDESS,20
Layer 13,13,0.9037,0.0182,0.9036,WavLM,RAVDESS,20
Layer 14,14,0.8942,0.0168,0.8941,WavLM,RAVDESS,20
Layer 15,15,0.8916,0.0126,0.8913,WavLM,RAVDESS,20
Layer 16,16,0.8808,0.0189,0.8807,WavLM,RAVDESS,20
Layer 17,17,0.8821,0.0171,0.8822,WavLM,RAVDESS,20
Layer 18,18,0.8731,0.0114,0.8732,WavLM,RAVDESS,20
Layer 19,19,0.8674,0.0104,0.8673,WavLM,RAVDESS,20
Layer 20,20,0.8718,0.0145,0.8716,WavLM,RAVDESS,20
Layer 21,21,0.8726,0.0127,0.8726,WavLM,RAVDESS,20
Layer 22,22,0.8644,0.0054,0.8642,WavLM,RAVDESS,20
Layer 23,23,0.8433,0.0064,0.8432,WavLM,RAVDESS,20
Layer 24,24,0.8273,0.0149,0.8272,WavLM,RAVDESS,20
CNN,0,0.4085,0.0176,0.4054,WavLM,RAVDESS,5
Layer 1,1,0.5125,0.0201,0.5106,WavLM,RAVDESS,5
Layer 2,2,0.5864,0.0063,0.5849,WavLM,RAVDESS,5
Layer 3,3,0.652,0.0222,0.6505,WavLM,RAVDESS,5
Layer 4,4,0.6408,0.0147,0.6398,WavLM,RAVDESS,5
