Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 8,8,0.6245,0.0099,0.6243,WavLM,IEMOCAP,20
Layer 9,9,0.6236,0.0097,0.6235,WavLM,IEMOCAP,20
Layer 10,10,0.6247,0.0121,0.6245,WavLM,IEMOCAP,20
Layer 11,11,0.628,0.0111,0.6277,WavLM,IEMOCAP,20
Layer 12,12,0.6337,0.0082,0.6335,WavLM,IEMOCAP,20
Layer 13,13,0.6211,0.0139,0.6212,WavLM,IEMOCAP,20
Layer 14,14,0.6145,0.0138,0.6143,WavLM,IEMOCAP,20
Layer 15,15,0.6229,0.0113,0.6226,WavLM,IEMOCAP,20
Layer 16,16,0.6295,0.0065,0.6291,WavLM,IEMOCAP,20
Layer 17,17,0.6324,0.0167,0.6321,WavLM,IEMOCAP,20
Layer 18,18,0.6244,0.016,0.624,WavLM,IEMOCAP,20
Layer 19,19,0.6264,0.0096,0.6262,WavLM,IEMOCAP,20
Layer 20,20,0.6275,0.0219,0.6277,WavLM,IEMOCAP,20
Layer 21,21,0.6324,0.0095,0.6324,WavLM,IEMOCAP,20
Layer 22,22,0.6278,0.01,0.6277,WavLM,IEMOCAP,20
Layer 23,23,0.5973,0.0152,0.5972,WavLM,IEMOCAP,20
Layer 24,24,0.581,0.018,0.5806,WavLM,IEMOCAP,20
CNN,0,0.5011,0.0159,0.5005,WavLM,IEMOCAP,5
Layer 1,1,0.5273,0.0103,0.5268,WavLM,IEMOCAP,5
Layer 2,2,0.5383,0.0092,0.538,WavLM,IEMOCAP,5
Layer 3,3,0.5328,0.0121,0.5324,WavLM,IEMOCAP,5
Layer 4,4,0.5319,0.0189,0.5314,WavLM,IEMOCAP,5
Layer 5,5,0.5463,0.0219,0.5461,WavLM,IEMOCAP,5
Layer 6,6,0.5421,0.0178,0.5416,WavLM,IEMOCAP,5
Layer 7,7,0.5388,0.0162,0.5382,WavLM,IEMOCAP,5
Layer 8,8,0.5388,0.0242,0.5383,WavLM,IEMOCAP,5
Layer 9,9,0.5458,0.0212,0.5447,WavLM,IEMOCAP,5
Layer 10,10,0.5469,0.0153,0.5467,WavLM,IEMOCAP,5
Layer 11,11,0.5527,0.015,0.5521,WavLM,IEMOCAP,5
Layer 12,12,0.5449,0.0126,0.5445,WavLM,IEMOCAP,5
Layer 13,13,0.5383,0.013,0.5379,WavLM,IEMOCAP,5
Layer 14,14,0.537,0.0229,0.5364,WavLM,IEMOCAP,5
Layer 15,15,0.5412,0.0144,0.5411,WavLM,IEMOCAP,5
Layer 16,16,0.535,0.0132,0.5344,WavLM,IEMOCAP,5
Layer 17,17,0.5416,0.0092,0.5415,WavLM,IEMOCAP,5
Layer 18,18,0.5385,0.0142,0.5382,WavLM,IEMOCAP,5
Layer 19,19,0.5346,0.0209,0.5341,WavLM,IEMOCAP,5
Layer 20,20,0.5341,0.0113,0.5338,WavLM,IEMOCAP,5
Layer 21,21,0.5273,0.0095,0.5269,WavLM,IEMOCAP,5
Layer 22,22,0.5357,0.0193,0.5356,WavLM,IEMOCAP,5
Layer 23,23,0.5106,0.0253,0.5103,WavLM,IEMOCAP,5
Layer 24,24,0.5071,0.0264,0.5068,WavLM,IEMOCAP,5
