Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
Layer 20,20,0.6926,0.0258,0.6907,MERT,MESD,20
Layer 21,21,0.6845,0.0231,0.6831,MERT,MESD,20
Layer 22,22,0.6602,0.0252,0.6569,MERT,MESD,20
Layer 23,23,0.6718,0.0314,0.6691,MERT,MESD,20
Layer 24,24,0.6764,0.0364,0.6732,MERT,MESD,20
CNN,0,0.4351,0.0375,0.432,MERT,MESD,5
Layer 1,1,0.5174,0.0264,0.5133,MERT,MESD,5
Layer 2,2,0.5523,0.0389,0.55,MERT,MESD,5
Layer 3,3,0.5952,0.0159,0.5937,MERT,MESD,5
Layer 4,4,0.6346,0.0263,0.6316,MERT,MESD,5
Layer 5,5,0.6172,0.0287,0.6144,MERT,MESD,5
Layer 6,6,0.6253,0.0254,0.6216,MERT,MESD,5
Layer 7,7,0.6357,0.0112,0.6331,MERT,MESD,5
Layer 8,8,0.5928,0.0197,0.5897,MERT,MESD,5
Layer 9,9,0.6334,0.0209,0.6326,MERT,MESD,5
Layer 10,10,0.6311,0.0244,0.6299,MERT,MESD,5
Layer 11,11,0.6334,0.0372,0.632,MERT,MESD,5
Layer 12,12,0.6218,0.0376,0.6196,MERT,MESD,5
Layer 13,13,0.6207,0.0417,0.6202,MERT,MESD,5
Layer 14,14,0.6172,0.0384,0.6142,MERT,MESD,5
Layer 15,15,0.6102,0.036,0.6075,MERT,MESD,5
Layer 16,16,0.6044,0.0349,0.5983,MERT,MESD,5
Layer 17,17,0.5823,0.028,0.5792,MERT,MESD,5
Layer 18,18,0.5627,0.0319,0.558,MERT,MESD,5
Layer 19,19,0.5848,0.0443,0.5822,MERT,MESD,5
Layer 20,20,0.5848,0.0337,0.5822,MERT,MESD,5
Layer 21,21,0.5952,0.0332,0.5919,MERT,MESD,5
Layer 22,22,0.5674,0.0359,0.5641,MERT,MESD,5
Layer 23,23,0.5662,0.0401,0.564,MERT,MESD,5
Layer 24,24,0.5662,0.0264,0.5634,MERT,MESD,5
