Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.507,0.0022,0.4329
Layer 1,1,0.5428,0.0113,0.5343
Layer 2,2,0.5624,0.0069,0.5558
Layer 3,3,0.5796,0.0086,0.5762
Layer 4,4,0.5789,0.0026,0.5758
Layer 5,5,0.5901,0.008,0.5861
Layer 6,6,0.5981,0.0046,0.5934
Layer 7,7,0.589,0.0082,0.5847
Layer 8,8,0.5914,0.0082,0.5867
Layer 9,9,0.5886,0.006,0.5839
Layer 10,10,0.59,0.0107,0.5863
Layer 11,11,0.5927,0.0071,0.5911
Layer 12,12,0.5963,0.01,0.5954
Layer 13,13,0.5941,0.0086,0.5936
Layer 14,14,0.6053,0.0136,0.6019
Layer 15,15,0.5988,0.0085,0.5959
Layer 16,16,0.5934,0.0085,0.5917
Layer 17,17,0.5916,0.0064,0.5897
Layer 18,18,0.5913,0.0035,0.5881
Layer 19,19,0.5852,0.0072,0.5826
Layer 20,20,0.5833,0.0058,0.5805
Layer 21,21,0.5784,0.009,0.5751
Layer 22,22,0.5628,0.007,0.5604
Layer 23,23,0.559,0.0102,0.5563
Layer 24,24,0.5608,0.0047,0.5548
