Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5554,0.0063,0.5231
Layer 1,1,0.5668,0.0047,0.546
Layer 2,2,0.5668,0.0092,0.5531
Layer 3,3,0.5732,0.005,0.5634
Layer 4,4,0.574,0.006,0.5679
Layer 5,5,0.58,0.0033,0.5761
Layer 6,6,0.5776,0.0031,0.5743
Layer 7,7,0.582,0.0061,0.579
Layer 8,8,0.5838,0.0037,0.5804
Layer 9,9,0.5897,0.0119,0.5856
Layer 10,10,0.5928,0.0083,0.5898
Layer 11,11,0.5933,0.0091,0.5916
Layer 12,12,0.5927,0.0065,0.591
Layer 13,13,0.5916,0.0116,0.5905
Layer 14,14,0.5935,0.0078,0.5921
Layer 15,15,0.5906,0.0045,0.5896
Layer 16,16,0.5892,0.0078,0.5889
Layer 17,17,0.5919,0.0044,0.5928
Layer 18,18,0.5968,0.0064,0.597
Layer 19,19,0.5963,0.0049,0.5973
Layer 20,20,0.6021,0.0043,0.6022
Layer 21,21,0.6043,0.0073,0.6061
Layer 22,22,0.6067,0.006,0.608
Layer 23,23,0.6102,0.0086,0.6124
Layer 24,24,0.6071,0.0068,0.6095
