Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6279,0.0055,0.6042
Layer 1,1,0.6187,0.0064,0.6019
Layer 2,2,0.6132,0.0053,0.601
Layer 3,3,0.6091,0.0091,0.6005
Layer 4,4,0.6126,0.0047,0.6062
Layer 5,5,0.6102,0.006,0.6049
Layer 6,6,0.6031,0.0083,0.5999
Layer 7,7,0.6065,0.0056,0.6037
Layer 8,8,0.6122,0.0023,0.6079
Layer 9,9,0.6091,0.0063,0.6058
Layer 10,10,0.6082,0.0044,0.6051
Layer 11,11,0.6047,0.0062,0.6025
Layer 12,12,0.6145,0.0051,0.6131
Layer 13,13,0.6098,0.0019,0.6083
Layer 14,14,0.6119,0.0066,0.6113
Layer 15,15,0.6087,0.0028,0.6083
Layer 16,16,0.6132,0.0048,0.6132
Layer 17,17,0.6108,0.0054,0.6116
Layer 18,18,0.6089,0.0048,0.61
Layer 19,19,0.6088,0.0064,0.6109
Layer 20,20,0.6197,0.0124,0.6211
Layer 21,21,0.6221,0.0106,0.6238
Layer 22,22,0.6283,0.009,0.6288
Layer 23,23,0.6316,0.0039,0.6323
Layer 24,24,0.6297,0.0118,0.632
