Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5731,0.0051,0.5437
Layer 1,1,0.5633,0.0086,0.5487
Layer 2,2,0.5603,0.0067,0.5532
Layer 3,3,0.5642,0.0062,0.5587
Layer 4,4,0.5587,0.0056,0.5548
Layer 5,5,0.568,0.0032,0.5646
Layer 6,6,0.5651,0.0099,0.5619
Layer 7,7,0.5708,0.0091,0.5672
Layer 8,8,0.5664,0.0112,0.5647
Layer 9,9,0.5714,0.0036,0.5689
Layer 10,10,0.572,0.0071,0.57
Layer 11,11,0.5691,0.0089,0.5679
Layer 12,12,0.5746,0.0057,0.5735
Layer 13,13,0.5812,0.0047,0.5792
Layer 14,14,0.5808,0.0062,0.5784
Layer 15,15,0.5796,0.0138,0.5788
Layer 16,16,0.5869,0.0074,0.5857
Layer 17,17,0.5808,0.0082,0.5814
Layer 18,18,0.5826,0.0055,0.5832
Layer 19,19,0.5857,0.0103,0.5868
Layer 20,20,0.5804,0.0136,0.5806
Layer 21,21,0.5824,0.0071,0.583
Layer 22,22,0.5795,0.0079,0.5783
Layer 23,23,0.5774,0.0127,0.5758
Layer 24,24,0.5724,0.0066,0.5706
