Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6114,0.0108,0.5943
Layer 1,1,0.5932,0.0069,0.5861
Layer 2,2,0.5865,0.0069,0.5817
Layer 3,3,0.5838,0.0099,0.5809
Layer 4,4,0.5866,0.01,0.5835
Layer 5,5,0.5906,0.0065,0.5887
Layer 6,6,0.5953,0.0072,0.594
Layer 7,7,0.5935,0.0038,0.5932
Layer 8,8,0.5897,0.0107,0.5893
Layer 9,9,0.5942,0.0141,0.5933
Layer 10,10,0.5959,0.0124,0.5953
Layer 11,11,0.601,0.0053,0.6005
Layer 12,12,0.5935,0.009,0.5929
Layer 13,13,0.5942,0.0078,0.5952
Layer 14,14,0.5866,0.0049,0.588
Layer 15,15,0.5837,0.0078,0.5857
Layer 16,16,0.5876,0.0055,0.5882
Layer 17,17,0.5888,0.0044,0.5887
Layer 18,18,0.5842,0.0062,0.5831
Layer 19,19,0.5905,0.0102,0.5882
Layer 20,20,0.5887,0.0088,0.5853
Layer 21,21,0.5715,0.005,0.5675
Layer 22,22,0.5715,0.0065,0.5646
Layer 23,23,0.5564,0.0068,0.5485
Layer 24,24,0.5245,0.0138,0.5149
