Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5788,0.0028,0.5515
Layer 1,1,0.5735,0.011,0.5601
Layer 2,2,0.5722,0.0059,0.5656
Layer 3,3,0.5744,0.0075,0.5704
Layer 4,4,0.5715,0.0046,0.5686
Layer 5,5,0.5706,0.0093,0.5687
Layer 6,6,0.5728,0.0122,0.5699
Layer 7,7,0.5776,0.0063,0.5754
Layer 8,8,0.5759,0.0129,0.5732
Layer 9,9,0.574,0.0038,0.5724
Layer 10,10,0.5774,0.0041,0.5756
Layer 11,11,0.5797,0.0075,0.5792
Layer 12,12,0.5851,0.004,0.5834
Layer 13,13,0.588,0.0084,0.5871
Layer 14,14,0.5837,0.0071,0.5831
Layer 15,15,0.5845,0.0125,0.5842
Layer 16,16,0.5892,0.0052,0.5889
Layer 17,17,0.5909,0.0087,0.5919
Layer 18,18,0.5909,0.0096,0.5929
Layer 19,19,0.5937,0.0094,0.5956
Layer 20,20,0.5899,0.0131,0.5919
Layer 21,21,0.5963,0.0072,0.5967
Layer 22,22,0.5928,0.0099,0.5926
Layer 23,23,0.5881,0.0115,0.5865
Layer 24,24,0.5877,0.0093,0.585
