Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6008,0.0022,0.578
Layer 1,1,0.5995,0.0068,0.5862
Layer 2,2,0.5902,0.0027,0.5808
Layer 3,3,0.5897,0.0086,0.582
Layer 4,4,0.5889,0.0075,0.5833
Layer 5,5,0.595,0.0074,0.5908
Layer 6,6,0.5936,0.005,0.5902
Layer 7,7,0.5888,0.006,0.5851
Layer 8,8,0.5947,0.0107,0.5914
Layer 9,9,0.5899,0.0081,0.5862
Layer 10,10,0.59,0.0068,0.5867
Layer 11,11,0.5867,0.0121,0.5834
Layer 12,12,0.5846,0.0055,0.5813
Layer 13,13,0.5855,0.0046,0.5817
Layer 14,14,0.5818,0.0056,0.5777
Layer 15,15,0.5839,0.0054,0.5804
Layer 16,16,0.5814,0.0056,0.5776
Layer 17,17,0.5802,0.0052,0.5766
Layer 18,18,0.5775,0.0067,0.5739
Layer 19,19,0.5724,0.0073,0.5693
Layer 20,20,0.5762,0.008,0.5728
Layer 21,21,0.575,0.0042,0.5714
Layer 22,22,0.5813,0.0068,0.5778
Layer 23,23,0.5806,0.007,0.5762
Layer 24,24,0.5803,0.0079,0.5752
