Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5839,0.0077,0.567
Layer 1,1,0.5689,0.0101,0.5635
Layer 2,2,0.5672,0.0045,0.563
Layer 3,3,0.5686,0.0124,0.5659
Layer 4,4,0.5732,0.0043,0.5711
Layer 5,5,0.5815,0.0038,0.5793
Layer 6,6,0.5771,0.0063,0.5756
Layer 7,7,0.5783,0.0061,0.5788
Layer 8,8,0.579,0.0074,0.5785
Layer 9,9,0.5834,0.0063,0.5835
Layer 10,10,0.5798,0.0052,0.5799
Layer 11,11,0.5841,0.0062,0.5834
Layer 12,12,0.5803,0.0042,0.5808
Layer 13,13,0.5802,0.0048,0.5817
Layer 14,14,0.5737,0.0078,0.5748
Layer 15,15,0.5779,0.0046,0.5791
Layer 16,16,0.5792,0.0053,0.5793
Layer 17,17,0.577,0.0088,0.5777
Layer 18,18,0.5722,0.0089,0.5719
Layer 19,19,0.578,0.0096,0.5756
Layer 20,20,0.5624,0.007,0.5592
Layer 21,21,0.5561,0.0041,0.5517
Layer 22,22,0.557,0.0062,0.5492
Layer 23,23,0.5498,0.008,0.5419
Layer 24,24,0.5298,0.0086,0.5204
