Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
CNN,0,0.4631,0.4879,LOLO_English,English,1434,2546
Layer 1,1,0.4305,0.4511,LOLO_English,English,1434,2546
Layer 2,2,0.5809,0.5961,LOLO_English,English,1434,2546
Layer 3,3,0.6936,0.6952,LOLO_English,English,1434,2546
Layer 4,4,0.6921,0.6791,LOLO_English,English,1434,2546
Layer 5,5,0.7046,0.6938,LOLO_English,English,1434,2546
Layer 6,6,0.7243,0.7167,LOLO_English,English,1434,2546
Layer 7,7,0.6968,0.693,LOLO_English,English,1434,2546
Layer 8,8,0.709,0.7086,LOLO_English,English,1434,2546
Layer 9,9,0.7294,0.7317,LOLO_English,English,1434,2546
Layer 10,10,0.7384,0.7346,LOLO_English,English,1434,2546
Layer 11,11,0.7353,0.7367,LOLO_English,English,1434,2546
Layer 12,12,0.6826,0.6957,LOLO_English,English,1434,2546
Layer 13,13,0.7121,0.7165,LOLO_English,English,1434,2546
Layer 14,14,0.72,0.7194,LOLO_English,English,1434,2546
Layer 15,15,0.7042,0.7062,LOLO_English,English,1434,2546
Layer 16,16,0.6716,0.6792,LOLO_English,English,1434,2546
Layer 17,17,0.7023,0.706,LOLO_English,English,1434,2546
Layer 18,18,0.7412,0.7474,LOLO_English,English,1434,2546
Layer 19,19,0.7101,0.7134,LOLO_English,English,1434,2546
Layer 20,20,0.6084,0.6238,LOLO_English,English,1434,2546
Layer 21,21,0.6936,0.7009,LOLO_English,English,1434,2546
Layer 22,22,0.6288,0.6351,LOLO_English,English,1434,2546
Layer 23,23,0.5966,0.5845,LOLO_English,English,1434,2546
Layer 24,24,0.5951,0.61,LOLO_English,English,1434,2546
CNN,0,0.7653,0.764,LOLO_German,German,3605,375
Layer 1,1,0.7413,0.7548,LOLO_German,German,3605,375
Layer 2,2,0.648,0.679,LOLO_German,German,3605,375
Layer 3,3,0.72,0.7552,LOLO_German,German,3605,375
Layer 4,4,0.8347,0.8383,LOLO_German,German,3605,375
Layer 5,5,0.888,0.8828,LOLO_German,German,3605,375
Layer 6,6,0.928,0.9254,LOLO_German,German,3605,375
Layer 7,7,0.936,0.9344,LOLO_German,German,3605,375
Layer 8,8,0.9307,0.9293,LOLO_German,German,3605,375
Layer 9,9,0.9227,0.9232,LOLO_German,German,3605,375
Layer 10,10,0.928,0.9287,LOLO_German,German,3605,375
Layer 11,11,0.9387,0.9385,LOLO_German,German,3605,375
Layer 12,12,0.9253,0.9233,LOLO_German,German,3605,375
Layer 13,13,0.9093,0.9051,LOLO_German,German,3605,375
Layer 14,14,0.904,0.9016,LOLO_German,German,3605,375
Layer 15,15,0.8987,0.8975,LOLO_German,German,3605,375
Layer 16,16,0.912,0.912,LOLO_German,German,3605,375
Layer 17,17,0.9067,0.9071,LOLO_German,German,3605,375
Layer 18,18,0.8773,0.8773,LOLO_German,German,3605,375
Layer 19,19,0.8987,0.8989,LOLO_German,German,3605,375
Layer 20,20,0.888,0.8881,LOLO_German,German,3605,375
Layer 21,21,0.9067,0.9051,LOLO_German,German,3605,375
Layer 22,22,0.9067,0.9061,LOLO_German,German,3605,375
Layer 23,23,0.88,0.8784,LOLO_German,German,3605,375
Layer 24,24,0.8827,0.8843,LOLO_German,German,3605,375
CNN,0,0.6232,0.6219,LOLO_Greek,Greek,3497,483
Layer 1,1,0.6108,0.5813,LOLO_Greek,Greek,3497,483
Layer 2,2,0.5921,0.5466,LOLO_Greek,Greek,3497,483
Layer 3,3,0.5714,0.5298,LOLO_Greek,Greek,3497,483
Layer 4,4,0.588,0.5585,LOLO_Greek,Greek,3497,483
Layer 5,5,0.648,0.645,LOLO_Greek,Greek,3497,483
Layer 6,6,0.6522,0.6392,LOLO_Greek,Greek,3497,483
Layer 7,7,0.6542,0.6416,LOLO_Greek,Greek,3497,483
Layer 8,8,0.6418,0.6326,LOLO_Greek,Greek,3497,483
Layer 9,9,0.7039,0.7019,LOLO_Greek,Greek,3497,483
Layer 10,10,0.6667,0.6515,LOLO_Greek,Greek,3497,483
Layer 11,11,0.6356,0.6167,LOLO_Greek,Greek,3497,483
Layer 12,12,0.5714,0.5599,LOLO_Greek,Greek,3497,483
