Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
CNN,0,0.4525,0.4808,LOLO_English,English,1434,2546
Layer 1,1,0.2938,0.2742,LOLO_English,English,1434,2546
Layer 2,2,0.2388,0.1788,LOLO_English,English,1434,2546
Layer 3,3,0.3472,0.3367,LOLO_English,English,1434,2546
Layer 4,4,0.5436,0.5734,LOLO_English,English,1434,2546
Layer 5,5,0.4709,0.5047,LOLO_English,English,1434,2546
Layer 6,6,0.597,0.6175,LOLO_English,English,1434,2546
Layer 7,7,0.6265,0.6439,LOLO_English,English,1434,2546
Layer 8,8,0.6002,0.6225,LOLO_English,English,1434,2546
Layer 9,9,0.619,0.6395,LOLO_English,English,1434,2546
Layer 10,10,0.63,0.6473,LOLO_English,English,1434,2546
Layer 11,11,0.553,0.5748,LOLO_English,English,1434,2546
Layer 12,12,0.4485,0.4768,LOLO_English,English,1434,2546
Layer 13,13,0.6182,0.6362,LOLO_English,English,1434,2546
Layer 14,14,0.5601,0.579,LOLO_English,English,1434,2546
Layer 15,15,0.5157,0.5354,LOLO_English,English,1434,2546
Layer 16,16,0.4863,0.51,LOLO_English,English,1434,2546
Layer 17,17,0.4753,0.4941,LOLO_English,English,1434,2546
Layer 18,18,0.498,0.5185,LOLO_English,English,1434,2546
Layer 19,19,0.3582,0.3674,LOLO_English,English,1434,2546
Layer 20,20,0.3354,0.3473,LOLO_English,English,1434,2546
Layer 21,21,0.3134,0.318,LOLO_English,English,1434,2546
Layer 22,22,0.3971,0.4184,LOLO_English,English,1434,2546
Layer 23,23,0.3885,0.4112,LOLO_English,English,1434,2546
Layer 24,24,0.3009,0.2932,LOLO_English,English,1434,2546
CNN,0,0.7013,0.6718,LOLO_German,German,3605,375
Layer 1,1,0.7253,0.7028,LOLO_German,German,3605,375
Layer 2,2,0.8213,0.7939,LOLO_German,German,3605,375
Layer 3,3,0.8427,0.8216,LOLO_German,German,3605,375
Layer 4,4,0.8773,0.8728,LOLO_German,German,3605,375
Layer 5,5,0.8667,0.8625,LOLO_German,German,3605,375
Layer 6,6,0.8,0.8053,LOLO_German,German,3605,375
Layer 7,7,0.816,0.8187,LOLO_German,German,3605,375
Layer 8,8,0.832,0.8217,LOLO_German,German,3605,375
Layer 9,9,0.8267,0.8088,LOLO_German,German,3605,375
Layer 10,10,0.824,0.8223,LOLO_German,German,3605,375
Layer 11,11,0.8,0.7982,LOLO_German,German,3605,375
Layer 12,12,0.808,0.8194,LOLO_German,German,3605,375
Layer 13,13,0.76,0.7677,LOLO_German,German,3605,375
Layer 14,14,0.7333,0.7465,LOLO_German,German,3605,375
Layer 15,15,0.7947,0.8064,LOLO_German,German,3605,375
Layer 16,16,0.7413,0.7619,LOLO_German,German,3605,375
Layer 17,17,0.672,0.7015,LOLO_German,German,3605,375
Layer 18,18,0.7013,0.7312,LOLO_German,German,3605,375
Layer 19,19,0.6907,0.7177,LOLO_German,German,3605,375
Layer 20,20,0.7147,0.7408,LOLO_German,German,3605,375
Layer 21,21,0.7547,0.7712,LOLO_German,German,3605,375
Layer 22,22,0.7093,0.7227,LOLO_German,German,3605,375
Layer 23,23,0.6613,0.6863,LOLO_German,German,3605,375
Layer 24,24,0.7307,0.7451,LOLO_German,German,3605,375
CNN,0,0.4286,0.4252,LOLO_Greek,Greek,3497,483
Layer 1,1,0.5135,0.5104,LOLO_Greek,Greek,3497,483
Layer 2,2,0.4928,0.4803,LOLO_Greek,Greek,3497,483
Layer 3,3,0.4451,0.4258,LOLO_Greek,Greek,3497,483
Layer 4,4,0.5176,0.5081,LOLO_Greek,Greek,3497,483
Layer 5,5,0.5362,0.5241,LOLO_Greek,Greek,3497,483
Layer 6,6,0.5114,0.4904,LOLO_Greek,Greek,3497,483
Layer 7,7,0.5072,0.4819,LOLO_Greek,Greek,3497,483
Layer 8,8,0.5176,0.4946,LOLO_Greek,Greek,3497,483
Layer 9,9,0.5155,0.4796,LOLO_Greek,Greek,3497,483
Layer 10,10,0.5052,0.4696,LOLO_Greek,Greek,3497,483
Layer 11,11,0.5093,0.4722,LOLO_Greek,Greek,3497,483
Layer 12,12,0.5093,0.4875,LOLO_Greek,Greek,3497,483
Layer 13,13,0.4969,0.4608,LOLO_Greek,Greek,3497,483
Layer 14,14,0.5342,0.5107,LOLO_Greek,Greek,3497,483
Layer 15,15,0.5528,0.5354,LOLO_Greek,Greek,3497,483
Layer 16,16,0.5259,0.5116,LOLO_Greek,Greek,3497,483
Layer 17,17,0.5155,0.4938,LOLO_Greek,Greek,3497,483
Layer 18,18,0.5135,0.4994,LOLO_Greek,Greek,3497,483
Layer 19,19,0.5404,0.5272,LOLO_Greek,Greek,3497,483
Layer 20,20,0.5445,0.5298,LOLO_Greek,Greek,3497,483
Layer 21,21,0.5342,0.5176,LOLO_Greek,Greek,3497,483
Layer 22,22,0.5238,0.5067,LOLO_Greek,Greek,3497,483
Layer 23,23,0.5072,0.4932,LOLO_Greek,Greek,3497,483
Layer 24,24,0.5114,0.5024,LOLO_Greek,Greek,3497,483
CNN,0,0.3264,0.2597,LOLO_Spanish,Spanish,3404,576
Layer 1,1,0.3333,0.2689,LOLO_Spanish,Spanish,3404,576
Layer 2,2,0.3299,0.2733,LOLO_Spanish,Spanish,3404,576
Layer 3,3,0.3247,0.249,LOLO_Spanish,Spanish,3404,576
Layer 4,4,0.3542,0.2885,LOLO_Spanish,Spanish,3404,576
Layer 5,5,0.3524,0.2965,LOLO_Spanish,Spanish,3404,576
Layer 6,6,0.3663,0.2965,LOLO_Spanish,Spanish,3404,576
Layer 7,7,0.4115,0.3576,LOLO_Spanish,Spanish,3404,576
Layer 8,8,0.3924,0.347,LOLO_Spanish,Spanish,3404,576
Layer 9,9,0.3854,0.3457,LOLO_Spanish,Spanish,3404,576
Layer 10,10,0.3646,0.3021,LOLO_Spanish,Spanish,3404,576
Layer 11,11,0.3403,0.267,LOLO_Spanish,Spanish,3404,576
Layer 12,12,0.3681,0.3092,LOLO_Spanish,Spanish,3404,576
Layer 13,13,0.4028,0.3552,LOLO_Spanish,Spanish,3404,576
Layer 14,14,0.3611,0.3394,LOLO_Spanish,Spanish,3404,576
Layer 15,15,0.3576,0.3084,LOLO_Spanish,Spanish,3404,576
Layer 16,16,0.401,0.3734,LOLO_Spanish,Spanish,3404,576
Layer 17,17,0.3767,0.3357,LOLO_Spanish,Spanish,3404,576
Layer 18,18,0.3819,0.3382,LOLO_Spanish,Spanish,3404,576
Layer 19,19,0.3924,0.3525,LOLO_Spanish,Spanish,3404,576
Layer 20,20,0.3785,0.3446,LOLO_Spanish,Spanish,3404,576
Layer 21,21,0.3785,0.3499,LOLO_Spanish,Spanish,3404,576
Layer 22,22,0.3576,0.3222,LOLO_Spanish,Spanish,3404,576
Layer 23,23,0.3733,0.333,LOLO_Spanish,Spanish,3404,576
Layer 24,24,0.3767,0.3728,LOLO_Spanish,Spanish,3404,576
