Model,Dataset,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
Whisper,RAVDESS,0.124695,0.009261353,0.010901412,0.015320191,0.013248175,0.011054362,0.009602637,0.0059614377,6.960066e-05,6.137206e-05,5.8010733e-05,3.1721924e-05,3.204442e-05,4.4015516e-05,4.5416557e-05,4.701335e-05,4.072919e-05,4.318921e-05,4.3624146e-05,3.113841e-05,2.960867e-05,2.9503048e-05,2.3522076e-05,2.0053116e-05,0.79930466
Whisper,EmoDB,0.0047455905,0.019959098,0.022278577,0.026124448,0.026359458,0.02363759,0.023220507,0.028953105,0.019998256,0.0189743,0.01981594,0.015139786,0.013037053,0.0125099,0.011864567,0.010408243,0.010653371,0.010130851,0.007931693,0.008199352,0.008455634,0.0071188333,0.006268733,0.008059925,0.63615507
Whisper,IEMOCAP,0.06509211,0.0055657653,0.0071568647,0.007079358,0.007229328,0.0075489776,0.006345524,0.003565906,9.980615e-06,1.2966522e-05,1.302688e-05,1.4675485e-05,1.355774e-05,1.3663793e-05,1.01298265e-05,9.573314e-06,1.1459013e-05,1.3129837e-05,1.4018477e-05,1.9994899e-05,1.8669962e-05,2.207801e-05,2.1098282e-05,8.609041e-06,0.8901911
Whisper,SAVEE,0.06983848,0.021126753,0.02703021,0.026815746,0.023149233,0.02211523,0.019256216,0.015744047,0.005467486,0.0061842715,0.00574197,0.006750556,0.0040723933,0.0036037036,0.0041806726,0.003967046,0.0032451372,0.003148334,0.0027662218,0.002486063,0.002194621,0.0018060893,0.001299131,0.0018917129,0.7161187
Whisper,AESDD,0.0071137613,0.012231362,0.016656667,0.016790662,0.017245688,0.019618867,0.01779123,0.01829131,0.0059785144,0.0055691274,0.0066476217,0.00633198,0.005980109,0.005081192,0.005149343,0.00567658,0.005180666,0.0042100027,0.003931685,0.0040471237,0.004579813,0.0049126637,0.00429731,0.005622356,0.79106426
Whisper,MESD,0.0028643582,0.009385752,0.013207893,0.014616343,0.013596477,0.01352461,0.0112930015,0.0112704225,0.00034431106,0.00047230293,0.00041412452,0.0003623563,0.00040830253,0.00043671424,0.00038291985,0.00032345133,0.0002949273,0.00026572985,0.0002467383,0.00026338518,0.00023204216,0.00020574071,0.00016109331,0.00017688319,0.9052502
Whisper,MSP-Podcast,0.01958524,0.0043292157,0.0055870595,0.005529901,0.0047755293,0.0048209755,0.0044843927,0.0028637855,0.00040561022,0.00055844674,0.0005860021,0.00025065808,0.00011904375,0.00010631901,7.0932765e-05,9.100167e-05,9.0411384e-05,7.325568e-05,3.1819116e-05,4.1483956e-05,4.6948666e-05,4.1792082e-05,2.6588348e-05,3.805985e-05,0.9454454
WavLM,RAVDESS,3.7955793e-05,0.00017090623,0.00020725683,0.0020087785,0.013095121,0.00577538,0.06726538,0.006450428,0.004711465,0.108100176,0.12762094,0.45737138,0.09201732,0.07786777,0.030638719,0.006140414,0.00034212487,5.2042684e-05,1.2610571e-05,9.686034e-07,1.1906757e-06,3.2111362e-05,6.699353e-08,2.1672971e-05,5.7924935e-05
WavLM,EmoDB,0.06983968,0.026711604,0.028670598,0.116779074,0.09181012,0.02827076,0.035271652,0.045921072,0.0507269,0.11416563,0.1545063,0.14509277,0.056298412,0.018448938,0.005922332,0.003706057,0.0013244824,0.0012879318,0.00028263163,0.00016690226,2.301007e-05,8.524594e-07,8.805761e-11,1.6389731e-09,0.0047722487
WavLM,IEMOCAP,0.033833794,0.019342555,0.016913513,0.12149032,0.09377327,0.06812667,0.18142,0.048403338,0.031662844,0.061992425,0.08063607,0.1195842,0.07363052,0.012508105,0.0015197858,0.0022545545,0.0006758679,0.00029518578,9.686915e-05,0.00018535879,2.866154e-05,1.0046202e-05,3.355607e-08,1.25832985e-05,0.031603437
WavLM,SAVEE,0.031584542,0.012570059,0.008559582,0.010388861,0.09087681,0.03419718,0.032856695,0.15055832,0.051573414,0.038956076,0.08073121,0.011038166,0.02796624,0.059268206,0.04406326,0.015334735,0.018312491,0.06169187,0.01945465,0.0042506875,0.005266008,0.015427077,0.1737471,5.4090396e-16,0.0013267134
