layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7847222222222222,0.028774416195364177,0.0794753086419753,0.024994918957317574,0.7856204085824444,-0.7052469135802469,0.03716541536664284,237.75,87.75,Whisper,implicit,0.25
1,0.6936728395061729,0.061901762716455484,0.12962962962962962,0.04781460921243724,0.6929566988262464,-0.5640432098765432,0.10683872796710478,237.75,87.75,Whisper,implicit,0.25
2,0.7746913580246914,0.04660391626710337,0.07175925925925926,0.036638372228649935,0.7734196278042925,-0.7029320987654322,0.07777022466428062,237.75,87.75,Whisper,implicit,0.25
3,0.7862654320987654,0.038166505764505226,0.07253086419753085,0.027777777777777776,0.7863587751506085,-0.7137345679012346,0.06271713286060626,237.75,87.75,Whisper,implicit,0.25
4,0.8016975308641975,0.060500912913310674,0.07021604938271604,0.03201308206276051,0.8004786071023089,-0.7314814814814814,0.09093160409047059,237.75,87.75,Whisper,implicit,0.25
5,0.8032407407407407,0.03808321814584282,0.0779320987654321,0.022732901022617644,0.8010460656825402,-0.7253086419753086,0.05274076385998472,237.75,87.75,Whisper,implicit,0.25
6,0.8078703703703703,0.05203615833360299,0.0470679012345679,0.026113251330240853,0.8044240783280835,-0.7608024691358025,0.07152240880405224,237.75,87.75,Whisper,implicit,0.25
7,0.8125,0.04212143229616101,0.05092592592592592,0.010542130417653907,0.8089003638103451,-0.7615740740740741,0.048694731788225754,237.75,87.75,Whisper,implicit,0.25
8,0.8140432098765432,0.04966323361249918,0.047839506172839504,0.012725634646968088,0.8088301327102961,-0.7662037037037037,0.05477127019537903,237.75,87.75,Whisper,implicit,0.25
9,0.8171296296296297,0.028441431989257356,0.047839506172839504,0.02955021937519562,0.8140038861087378,-0.7692901234567902,0.05389463952836868,237.75,87.75,Whisper,implicit,0.25
10,0.8125,0.03412553146218517,0.051697530864197525,0.03260278164092762,0.8092367894806348,-0.7608024691358024,0.05598258378770692,237.75,87.75,Whisper,implicit,0.25
11,0.7939814814814815,0.04517679372933476,0.054783950617283944,0.029644093691818744,0.7919318092373673,-0.7391975308641976,0.04404686137573584,237.75,87.75,Whisper,implicit,0.25
12,0.8117283950617283,0.05735539038998503,0.05632716049382716,0.021733158615511942,0.8095629515788243,-0.7554012345679012,0.066834826402262,237.75,87.75,Whisper,implicit,0.25
13,0.8217592592592593,0.04439690816321645,0.05324074074074074,0.019088451970452135,0.8202473843452553,-0.7685185185185185,0.05646264499593517,237.75,87.75,Whisper,implicit,0.25
14,0.8063271604938271,0.06117940026193543,0.05246913580246913,0.02917170139662104,0.8035848634762607,-0.753858024691358,0.07200359967461853,237.75,87.75,Whisper,implicit,0.25
15,0.7777777777777777,0.047280351000312956,0.05632716049382716,0.029644093691818744,0.7772601567788063,-0.7214506172839505,0.05825489533387923,237.75,87.75,Whisper,implicit,0.25
16,0.7947530864197531,0.03319396256152607,0.05246913580246913,0.03246858814415535,0.794031751915639,-0.7422839506172839,0.03850816311154913,237.75,87.75,Whisper,implicit,0.25
17,0.7916666666666666,0.042281322197601896,0.07870370370370369,0.022185039766304347,0.7894467678287257,-0.712962962962963,0.04079059177283741,237.75,87.75,Whisper,implicit,0.25
18,0.8016975308641976,0.04189466654474756,0.0794753086419753,0.011920401467342044,0.8004535709761851,-0.7222222222222222,0.03838427593863705,237.75,87.75,Whisper,implicit,0.25
19,0.7800925925925926,0.044181822966788006,0.07638888888888888,0.01806280850419695,0.777721026645387,-0.7037037037037037,0.026669714808262798,237.75,87.75,Whisper,implicit,0.25
20,0.7476851851851851,0.05648373019427868,0.08719135802469136,0.037748230059582985,0.7459562343131295,-0.6604938271604939,0.07840559211217135,237.75,87.75,Whisper,implicit,0.25
21,0.7345679012345678,0.03838427593863703,0.09722222222222221,0.027777777777777776,0.7325786982800113,-0.6373456790123456,0.04490360667241806,237.75,87.75,Whisper,implicit,0.25
22,0.6905864197530864,0.0252477185016626,0.1388888888888889,0.018518518518518514,0.6822244507749384,-0.5516975308641976,0.026355326044134788,237.75,87.75,Whisper,implicit,0.25
23,0.6728395061728395,0.007127781101106539,0.14969135802469136,0.027777777777777773,0.6673963962668683,-0.5231481481481481,0.030812714263110996,237.75,87.75,Whisper,implicit,0.25
24,0.6697530864197531,0.032468588144155354,0.15740740740740738,0.032468588144155354,0.6613694226388449,-0.5123456790123456,0.05920779658410767,237.75,87.75,Whisper,implicit,0.25
