Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8598,0.0251,0.8575
Layer 1,1,0.9121,0.0226,0.9115
Layer 2,2,0.9121,0.0233,0.9105
Layer 3,3,0.9346,0.0205,0.9336
Layer 4,4,0.929,0.0127,0.9285
Layer 5,5,0.9439,0.0156,0.9434
Layer 6,6,0.9607,0.0124,0.9603
Layer 7,7,0.9607,0.0216,0.9599
Layer 8,8,0.9533,0.0118,0.9532
Layer 9,9,0.9495,0.0173,0.949
Layer 10,10,0.9495,0.0226,0.9493
Layer 11,11,0.9551,0.0161,0.9549
Layer 12,12,0.957,0.014,0.9565
Layer 13,13,0.9477,0.0255,0.947
Layer 14,14,0.9458,0.0137,0.9453
Layer 15,15,0.9439,0.0229,0.9431
Layer 16,16,0.9402,0.0152,0.9398
Layer 17,17,0.9495,0.0287,0.949
Layer 18,18,0.9458,0.0342,0.9449
Layer 19,19,0.9383,0.0305,0.9377
Layer 20,20,0.9327,0.0232,0.9325
Layer 21,21,0.9215,0.0316,0.9204
Layer 22,22,0.9159,0.0236,0.915
Layer 23,23,0.9009,0.0316,0.9
Layer 24,24,0.9028,0.0192,0.9021
