Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3201,0.0358,0.3164
Layer 1,1,0.6984,0.0235,0.6971
Layer 2,2,0.768,0.0037,0.7672
Layer 3,3,0.8318,0.0242,0.8317
Layer 4,4,0.8388,0.0256,0.8385
Layer 5,5,0.8492,0.0276,0.8496
Layer 6,6,0.8307,0.0242,0.8306
Layer 7,7,0.8237,0.026,0.8235
Layer 8,8,0.8087,0.0331,0.8079
Layer 9,9,0.8214,0.0313,0.8196
Layer 10,10,0.8283,0.0169,0.8283
Layer 11,11,0.8039,0.0305,0.8022
Layer 12,12,0.7761,0.0288,0.7753
Layer 13,13,0.7761,0.0233,0.7749
Layer 14,14,0.8063,0.01,0.8059
Layer 15,15,0.8086,0.0173,0.8083
Layer 16,16,0.8353,0.0216,0.8353
Layer 17,17,0.8689,0.0188,0.8687
Layer 18,18,0.8458,0.0379,0.8466
Layer 19,19,0.8458,0.0328,0.8449
Layer 20,20,0.8202,0.0379,0.82
Layer 21,21,0.7785,0.027,0.777
Layer 22,22,0.7437,0.0447,0.7427
Layer 23,23,0.7204,0.0473,0.7204
Layer 24,24,0.6346,0.0273,0.632
