Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5142,0.0027,0.4526
Layer 1,1,0.5722,0.0044,0.564
Layer 2,2,0.5932,0.0038,0.5854
Layer 3,3,0.5941,0.0061,0.5899
Layer 4,4,0.6013,0.0042,0.5973
Layer 5,5,0.6064,0.0072,0.6022
Layer 6,6,0.6042,0.0076,0.5996
Layer 7,7,0.6083,0.0093,0.6028
Layer 8,8,0.5978,0.0036,0.5925
Layer 9,9,0.6104,0.0111,0.6049
Layer 10,10,0.6099,0.0066,0.6055
Layer 11,11,0.6025,0.0129,0.5998
Layer 12,12,0.6088,0.0054,0.6078
Layer 13,13,0.6152,0.0073,0.6142
Layer 14,14,0.6181,0.0129,0.6158
Layer 15,15,0.6115,0.0086,0.6082
Layer 16,16,0.611,0.0071,0.6088
Layer 17,17,0.6112,0.0094,0.6087
Layer 18,18,0.6064,0.0076,0.603
Layer 19,19,0.6027,0.005,0.5996
Layer 20,20,0.6024,0.0087,0.5992
Layer 21,21,0.6001,0.0106,0.5959
Layer 22,22,0.5929,0.0034,0.5888
Layer 23,23,0.5862,0.0068,0.5806
Layer 24,24,0.5809,0.0094,0.5733
