Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.9121,0.0569,0.9108
Layer 1,1,0.9402,0.0416,0.9394
Layer 2,2,0.9589,0.0173,0.9588
Layer 3,3,0.9664,0.0183,0.9662
Layer 4,4,0.972,0.0196,0.9719
Layer 5,5,0.9738,0.0161,0.9738
Layer 6,6,0.9776,0.014,0.9775
Layer 7,7,0.9757,0.0183,0.9756
Layer 8,8,0.9794,0.0181,0.9793
Layer 9,9,0.985,0.0095,0.985
Layer 10,10,0.9832,0.0092,0.9831
Layer 11,11,0.9888,0.0109,0.9887
Layer 12,12,0.9832,0.0092,0.983
Layer 13,13,0.9813,0.0102,0.9812
Layer 14,14,0.9776,0.0127,0.9774
Layer 15,15,0.972,0.0102,0.9721
Layer 16,16,0.972,0.0059,0.9721
Layer 17,17,0.9682,0.0095,0.9684
Layer 18,18,0.9645,0.0161,0.9645
Layer 19,19,0.9514,0.0181,0.9508
Layer 20,20,0.9495,0.0173,0.9492
Layer 21,21,0.9607,0.0161,0.9604
Layer 22,22,0.9682,0.0075,0.9679
Layer 23,23,0.9645,0.0092,0.9642
Layer 24,24,0.9607,0.007,0.9606
