Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6218,0.0049,0.6215
Layer 1,1,0.6421,0.0161,0.6421
Layer 2,2,0.6522,0.0151,0.6519
Layer 3,3,0.648,0.0096,0.6477
Layer 4,4,0.6452,0.0083,0.6449
Layer 5,5,0.6496,0.0083,0.6496
Layer 6,6,0.6484,0.0156,0.648
Layer 7,7,0.6452,0.007,0.6451
Layer 8,8,0.6436,0.0142,0.6433
Layer 9,9,0.6504,0.0108,0.65
Layer 10,10,0.635,0.0107,0.635
Layer 11,11,0.6266,0.0083,0.6261
Layer 12,12,0.6278,0.0111,0.6275
Layer 13,13,0.6341,0.0085,0.634
Layer 14,14,0.6189,0.0093,0.6188
Layer 15,15,0.6253,0.0182,0.6251
Layer 16,16,0.6251,0.0127,0.625
Layer 17,17,0.6229,0.0069,0.6227
Layer 18,18,0.6084,0.0099,0.6081
Layer 19,19,0.6081,0.0177,0.6078
Layer 20,20,0.604,0.0074,0.6036
Layer 21,21,0.606,0.0128,0.6056
Layer 22,22,0.5908,0.0186,0.5905
Layer 23,23,0.6007,0.0062,0.6003
Layer 24,24,0.6022,0.018,0.6019
