Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6659,0.0273,0.6647
Layer 1,1,0.7622,0.0191,0.761
Layer 2,2,0.8179,0.0305,0.8167
Layer 3,3,0.8411,0.0214,0.8409
Layer 4,4,0.8399,0.0168,0.8394
Layer 5,5,0.8573,0.0306,0.8574
Layer 6,6,0.8492,0.0181,0.8489
Layer 7,7,0.8689,0.0264,0.8686
Layer 8,8,0.8562,0.0256,0.8564
Layer 9,9,0.84,0.03,0.8397
Layer 10,10,0.8353,0.0262,0.8352
Layer 11,11,0.8237,0.0232,0.8241
Layer 12,12,0.8249,0.0293,0.8249
Layer 13,13,0.8365,0.0261,0.8357
Layer 14,14,0.8249,0.0285,0.824
Layer 15,15,0.8399,0.0168,0.8391
Layer 16,16,0.8156,0.0152,0.8149
Layer 17,17,0.8016,0.023,0.8
Layer 18,18,0.8132,0.0118,0.8131
Layer 19,19,0.7912,0.0292,0.7899
Layer 20,20,0.7993,0.0203,0.7983
Layer 21,21,0.8074,0.0239,0.8072
Layer 22,22,0.8039,0.0206,0.8029
Layer 23,23,0.7866,0.0142,0.7859
Layer 24,24,0.7923,0.0094,0.7916
