Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8766,0.0254,0.8772
Layer 1,1,0.9121,0.0152,0.911
Layer 2,2,0.9308,0.0327,0.9291
Layer 3,3,0.9421,0.0309,0.9416
Layer 4,4,0.9514,0.0254,0.9509
Layer 5,5,0.957,0.0183,0.9566
Layer 6,6,0.9701,0.0109,0.9701
Layer 7,7,0.9757,0.0127,0.9756
Layer 8,8,0.9738,0.0109,0.9735
Layer 9,9,0.9664,0.0075,0.9661
Layer 10,10,0.9533,0.0156,0.9532
Layer 11,11,0.9458,0.0124,0.9458
Layer 12,12,0.9477,0.0095,0.9474
Layer 13,13,0.9234,0.0137,0.9236
Layer 14,14,0.9084,0.0161,0.9081
Layer 15,15,0.9084,0.0208,0.9081
Layer 16,16,0.9103,0.0241,0.9093
Layer 17,17,0.8935,0.0281,0.8928
Layer 18,18,0.9159,0.029,0.9149
Layer 19,19,0.8748,0.0348,0.8736
Layer 20,20,0.8636,0.0449,0.8618
Layer 21,21,0.8037,0.0307,0.8014
Layer 22,22,0.7757,0.0156,0.7708
Layer 23,23,0.7065,0.0531,0.6992
Layer 24,24,0.5832,0.0201,0.5741
