Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8398,0.0156,0.8406
Layer 1,1,0.8726,0.0119,0.8728
Layer 2,2,0.8964,0.0139,0.8963
Layer 3,3,0.9115,0.0192,0.9116
Layer 4,4,0.9219,0.0172,0.9221
Layer 5,5,0.9283,0.0205,0.9284
Layer 6,6,0.9275,0.0168,0.9274
Layer 7,7,0.9404,0.0145,0.9403
Layer 8,8,0.9374,0.0186,0.9375
Layer 9,9,0.9421,0.0177,0.9421
Layer 10,10,0.9387,0.0143,0.9386
Layer 11,11,0.9374,0.0174,0.9374
Layer 12,12,0.9352,0.0183,0.9351
Layer 13,13,0.9383,0.0142,0.9383
Layer 14,14,0.9439,0.0181,0.9439
Layer 15,15,0.9413,0.0142,0.9414
Layer 16,16,0.943,0.0093,0.9435
Layer 17,17,0.9404,0.0135,0.9408
Layer 18,18,0.927,0.0138,0.927
Layer 19,19,0.9331,0.0173,0.9331
Layer 20,20,0.9223,0.0166,0.9224
Layer 21,21,0.9244,0.0166,0.9245
Layer 22,22,0.9206,0.0092,0.9206
Layer 23,23,0.9115,0.0125,0.9118
Layer 24,24,0.9098,0.0112,0.91
