Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6198,0.0092,0.5965
Layer 1,1,0.6166,0.0082,0.6058
Layer 2,2,0.6009,0.0046,0.5936
Layer 3,3,0.6061,0.0016,0.6014
Layer 4,4,0.6014,0.0054,0.5982
Layer 5,5,0.5988,0.0032,0.5955
Layer 6,6,0.6037,0.0136,0.6011
Layer 7,7,0.6055,0.0054,0.6029
Layer 8,8,0.6053,0.0051,0.6028
Layer 9,9,0.6057,0.0087,0.6041
Layer 10,10,0.6078,0.0026,0.6055
Layer 11,11,0.6085,0.0073,0.6067
Layer 12,12,0.6107,0.0052,0.6085
Layer 13,13,0.6141,0.0129,0.6124
Layer 14,14,0.6137,0.0148,0.612
Layer 15,15,0.615,0.0059,0.6141
Layer 16,16,0.6172,0.0051,0.617
Layer 17,17,0.6267,0.0094,0.627
Layer 18,18,0.6255,0.0052,0.6258
Layer 19,19,0.6222,0.0107,0.6226
Layer 20,20,0.6232,0.0101,0.6239
Layer 21,21,0.6175,0.0057,0.6181
Layer 22,22,0.6298,0.0073,0.6286
Layer 23,23,0.6149,0.0042,0.6139
Layer 24,24,0.6135,0.0087,0.6123
