Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.745,0.0269,0.746
Layer 1,1,0.8146,0.0456,0.8143
Layer 2,2,0.8344,0.0117,0.8339
Layer 3,3,0.846,0.0271,0.8461
Layer 4,4,0.8708,0.0268,0.8709
Layer 5,5,0.8791,0.0316,0.8799
Layer 6,6,0.8758,0.0421,0.876
Layer 7,7,0.8725,0.0328,0.8727
Layer 8,8,0.8874,0.0182,0.8874
Layer 9,9,0.8907,0.0255,0.8905
Layer 10,10,0.8774,0.0252,0.8775
Layer 11,11,0.8708,0.03,0.8708
Layer 12,12,0.8725,0.0305,0.8724
Layer 13,13,0.8625,0.0223,0.8629
Layer 14,14,0.8791,0.0373,0.8792
Layer 15,15,0.8642,0.0329,0.864
Layer 16,16,0.8658,0.0306,0.8657
Layer 17,17,0.8675,0.0275,0.8676
Layer 18,18,0.8559,0.0256,0.856
Layer 19,19,0.8609,0.0275,0.8609
Layer 20,20,0.8411,0.0293,0.8413
Layer 21,21,0.8278,0.0211,0.8283
Layer 22,22,0.8278,0.0278,0.8274
Layer 23,23,0.8179,0.0229,0.817
Layer 24,24,0.8096,0.0389,0.8097
