Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8817,0.02,0.8815
Layer 1,1,0.9089,0.0151,0.9092
Layer 2,2,0.9231,0.0149,0.9233
Layer 3,3,0.9365,0.0073,0.9367
Layer 4,4,0.9516,0.0052,0.9517
Layer 5,5,0.9534,0.0085,0.9534
Layer 6,6,0.9555,0.0153,0.9554
Layer 7,7,0.9521,0.0172,0.9519
Layer 8,8,0.9577,0.011,0.9578
Layer 9,9,0.9478,0.0032,0.9479
Layer 10,10,0.9499,0.0101,0.9499
Layer 11,11,0.9521,0.0139,0.9521
Layer 12,12,0.9491,0.0124,0.9492
Layer 13,13,0.9491,0.0156,0.9493
Layer 14,14,0.9499,0.0124,0.9501
Layer 15,15,0.9452,0.0156,0.9454
Layer 16,16,0.937,0.0082,0.9371
Layer 17,17,0.9383,0.014,0.9384
Layer 18,18,0.9326,0.0081,0.9328
Layer 19,19,0.9262,0.0177,0.9265
Layer 20,20,0.9205,0.0141,0.9207
Layer 21,21,0.9132,0.0107,0.913
Layer 22,22,0.8972,0.0082,0.8972
Layer 23,23,0.87,0.0152,0.8701
Layer 24,24,0.8329,0.0091,0.8329
