Layer,Layer_Num,RMSE,Target
CNN,0,0.8982,EmoVal
Layer 1,1,0.8951,EmoVal
Layer 2,2,0.8886,EmoVal
Layer 3,3,0.8844,EmoVal
Layer 4,4,0.8844,EmoVal
Layer 5,5,0.8843,EmoVal
Layer 6,6,0.8819,EmoVal
Layer 7,7,0.8836,EmoVal
Layer 8,8,0.883,EmoVal
Layer 9,9,0.8853,EmoVal
Layer 10,10,0.8802,EmoVal
Layer 11,11,0.8757,EmoVal
Layer 12,12,0.8756,EmoVal
Layer 13,13,0.8737,EmoVal
Layer 14,14,0.8731,EmoVal
Layer 15,15,0.8667,EmoVal
Layer 16,16,0.8597,EmoVal
Layer 17,17,0.853,EmoVal
Layer 18,18,0.8477,EmoVal
Layer 19,19,0.8447,EmoVal
Layer 20,20,0.8514,EmoVal
Layer 21,21,0.8492,EmoVal
Layer 22,22,0.8499,EmoVal
Layer 23,23,0.861,EmoVal
Layer 24,24,0.8632,EmoVal
CNN,0,0.7382,EmoAct
Layer 1,1,0.7253,EmoAct
Layer 2,2,0.7173,EmoAct
Layer 3,3,0.7126,EmoAct
Layer 4,4,0.7152,EmoAct
Layer 5,5,0.7136,EmoAct
Layer 6,6,0.7143,EmoAct
Layer 7,7,0.7137,EmoAct
Layer 8,8,0.7163,EmoAct
Layer 9,9,0.7164,EmoAct
Layer 10,10,0.7144,EmoAct
Layer 11,11,0.7156,EmoAct
Layer 12,12,0.718,EmoAct
Layer 13,13,0.718,EmoAct
Layer 14,14,0.7186,EmoAct
Layer 15,15,0.7227,EmoAct
Layer 16,16,0.7217,EmoAct
Layer 17,17,0.7249,EmoAct
Layer 18,18,0.7267,EmoAct
Layer 19,19,0.7297,EmoAct
Layer 20,20,0.7297,EmoAct
Layer 21,21,0.7297,EmoAct
Layer 22,22,0.7299,EmoAct
Layer 23,23,0.7288,EmoAct
Layer 24,24,0.7302,EmoAct
CNN,0,0.698,EmoDom
Layer 1,1,0.6934,EmoDom
Layer 2,2,0.6917,EmoDom
Layer 3,3,0.6899,EmoDom
Layer 4,4,0.6913,EmoDom
Layer 5,5,0.6913,EmoDom
Layer 6,6,0.6933,EmoDom
Layer 7,7,0.6933,EmoDom
Layer 8,8,0.6941,EmoDom
Layer 9,9,0.6959,EmoDom
Layer 10,10,0.6939,EmoDom
Layer 11,11,0.6951,EmoDom
Layer 12,12,0.6944,EmoDom
Layer 13,13,0.695,EmoDom
Layer 14,14,0.6969,EmoDom
Layer 15,15,0.6987,EmoDom
Layer 16,16,0.6981,EmoDom
Layer 17,17,0.6997,EmoDom
Layer 18,18,0.6996,EmoDom
Layer 19,19,0.7033,EmoDom
Layer 20,20,0.7016,EmoDom
Layer 21,21,0.7014,EmoDom
Layer 22,22,0.7004,EmoDom
Layer 23,23,0.6997,EmoDom
Layer 24,24,0.7018,EmoDom
