,HuBERT,wav2vec2,Whisper,WavLM,MERT,w2v-BERT
HuBERT,0.3770491803278688,0.39344262295081966,0.39344262295081966,0.4262295081967213,0.29508196721311475,0.19672131147540983
wav2vec2,0.5428571428571428,0.6285714285714286,0.4142857142857143,0.5714285714285714,0.42857142857142855,0.18571428571428572
Whisper,0.35443037974683544,0.4050632911392405,0.46835443037974683,0.5316455696202531,0.31645569620253167,0.4050632911392405
WavLM,0.43448275862068964,0.46206896551724136,0.2896551724137931,0.7724137931034483,0.3103448275862069,0.15172413793103448
MERT,0.46875,0.59375,0.546875,0.59375,0.734375,0.453125
w2v-BERT,0.26229508196721313,0.3114754098360656,0.4426229508196721,0.3114754098360656,0.36065573770491804,0.5081967213114754
