file,step,metric,value
step1_HuBERT_CREMA-D_L14_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L14_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L14_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L14_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L14_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L14_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L14_metrics.json,step1,final_fvu,0.0630814525464189
step1_HuBERT_CREMA-D_L14_metrics.json,step1,final_recon_mse,0.06323597580194473
step1_HuBERT_CREMA-D_L14_metrics.json,step1,explained_variance,0.936918547453581
step1_HuBERT_CREMA-D_L14_metrics.json,step1,dead_features,10
step1_HuBERT_CREMA-D_L14_metrics.json,step1,alive_features,8182
step1_HuBERT_CREMA-D_L14_metrics.json,step1,dead_frac,0.001220703125
step1_HuBERT_CREMA-D_L14_metrics.json,step1,median_density_alive,0.0016383539674115922
step1_HuBERT_CREMA-D_L15_metrics.json,step1,tag,HuBERT_CREMA-D_L15
step1_HuBERT_CREMA-D_L15_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L15_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L15_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L15_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L15_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L15_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L15_metrics.json,step1,final_fvu,0.054816711673300086
step1_HuBERT_CREMA-D_L15_metrics.json,step1,final_recon_mse,0.05484655871987343
step1_HuBERT_CREMA-D_L15_metrics.json,step1,explained_variance,0.9451832883267
step1_HuBERT_CREMA-D_L15_metrics.json,step1,dead_features,8
step1_HuBERT_CREMA-D_L15_metrics.json,step1,alive_features,8184
step1_HuBERT_CREMA-D_L15_metrics.json,step1,dead_frac,0.0009765625
step1_HuBERT_CREMA-D_L15_metrics.json,step1,median_density_alive,0.0016383539674115922
step1_HuBERT_CREMA-D_L16_metrics.json,step1,tag,HuBERT_CREMA-D_L16
step1_HuBERT_CREMA-D_L16_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L16_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L16_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L16_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L16_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L16_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L16_metrics.json,step1,final_fvu,0.05463740745765462
step1_HuBERT_CREMA-D_L16_metrics.json,step1,final_recon_mse,0.05461826175451279
step1_HuBERT_CREMA-D_L16_metrics.json,step1,explained_variance,0.9453625925423453
step1_HuBERT_CREMA-D_L16_metrics.json,step1,dead_features,8
step1_HuBERT_CREMA-D_L16_metrics.json,step1,alive_features,8184
step1_HuBERT_CREMA-D_L16_metrics.json,step1,dead_frac,0.0009765625
step1_HuBERT_CREMA-D_L16_metrics.json,step1,median_density_alive,0.0016622831879677497
step1_HuBERT_CREMA-D_L17_metrics.json,step1,tag,HuBERT_CREMA-D_L17
step1_HuBERT_CREMA-D_L17_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L17_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L17_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L17_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L17_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L17_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L17_metrics.json,step1,final_fvu,0.055271516993007516
step1_HuBERT_CREMA-D_L17_metrics.json,step1,final_recon_mse,0.05520741641521454
step1_HuBERT_CREMA-D_L17_metrics.json,step1,explained_variance,0.9447284830069925
step1_HuBERT_CREMA-D_L17_metrics.json,step1,dead_features,12
step1_HuBERT_CREMA-D_L17_metrics.json,step1,alive_features,8180
step1_HuBERT_CREMA-D_L17_metrics.json,step1,dead_frac,0.00146484375
step1_HuBERT_CREMA-D_L17_metrics.json,step1,median_density_alive,0.0016165517886826486
step1_HuBERT_CREMA-D_L18_metrics.json,step1,tag,HuBERT_CREMA-D_L18
step1_HuBERT_CREMA-D_L18_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L18_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L18_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L18_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L18_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L18_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L18_metrics.json,step1,final_fvu,0.057243311347049526
step1_HuBERT_CREMA-D_L18_metrics.json,step1,final_recon_mse,0.05719950050115585
step1_HuBERT_CREMA-D_L18_metrics.json,step1,explained_variance,0.9427566886529505
step1_HuBERT_CREMA-D_L18_metrics.json,step1,dead_features,9
step1_HuBERT_CREMA-D_L18_metrics.json,step1,alive_features,8183
step1_HuBERT_CREMA-D_L18_metrics.json,step1,dead_frac,0.0010986328125
step1_HuBERT_CREMA-D_L18_metrics.json,step1,median_density_alive,0.001670791355276606
step1_HuBERT_CREMA-D_L19_metrics.json,step1,tag,HuBERT_CREMA-D_L19
step1_HuBERT_CREMA-D_L19_metrics.json,step1,d_in,1024
step1_HuBERT_CREMA-D_L19_metrics.json,step1,d_sae,8192
step1_HuBERT_CREMA-D_L19_metrics.json,step1,k,32
step1_HuBERT_CREMA-D_L19_metrics.json,step1,expansion,8
step1_HuBERT_CREMA-D_L19_metrics.json,step1,n_frames,940273
step1_HuBERT_CREMA-D_L19_metrics.json,step1,n_utterances,7442
step1_HuBERT_CREMA-D_L19_metrics.json,step1,final_fvu,0.0593611346323936
step1_HuBERT_CREMA-D_L19_metrics.json,step1,final_recon_mse,0.05922951176762581
