Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4803,0.0261,0.4774
Layer 1,1,0.5419,0.0409,0.5418
Layer 2,2,0.5964,0.0465,0.5975
Layer 3,3,0.6149,0.0269,0.6149
Layer 4,4,0.6148,0.0318,0.6146
Layer 5,5,0.6345,0.0324,0.6338
Layer 6,6,0.6403,0.0367,0.6391
Layer 7,7,0.6334,0.0176,0.6335
Layer 8,8,0.6589,0.0159,0.6582
Layer 9,9,0.6335,0.0407,0.6316
Layer 10,10,0.6288,0.0444,0.6289
Layer 11,11,0.6184,0.0389,0.6182
Layer 12,12,0.6115,0.0495,0.6102
Layer 13,13,0.5964,0.0495,0.5957
Layer 14,14,0.5651,0.0515,0.5648
Layer 15,15,0.5639,0.0293,0.5643
Layer 16,16,0.5545,0.0375,0.5541
Layer 17,17,0.5406,0.0478,0.5388
Layer 18,18,0.5337,0.0523,0.5338
Layer 19,19,0.5024,0.0417,0.5023
Layer 20,20,0.4827,0.0355,0.4825
Layer 21,21,0.507,0.0435,0.5064
Layer 22,22,0.5035,0.0518,0.5013
Layer 23,23,0.4583,0.0375,0.4559
Layer 24,24,0.442,0.0331,0.4406
