Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5679,0.0352,0.5681
Layer 1,1,0.6292,0.0467,0.6298
Layer 2,2,0.6706,0.0533,0.6646
Layer 3,3,0.712,0.0478,0.711
Layer 4,4,0.7517,0.0433,0.7503
Layer 5,5,0.7716,0.0394,0.7689
Layer 6,6,0.7799,0.0353,0.7784
Layer 7,7,0.7666,0.0457,0.7651
Layer 8,8,0.7716,0.0387,0.77
Layer 9,9,0.7848,0.0334,0.7829
Layer 10,10,0.7748,0.0265,0.7734
Layer 11,11,0.7616,0.0284,0.7592
Layer 12,12,0.7401,0.0264,0.7375
Layer 13,13,0.7418,0.0249,0.7399
Layer 14,14,0.7384,0.0169,0.737
Layer 15,15,0.7384,0.0277,0.7368
Layer 16,16,0.7285,0.0386,0.7265
Layer 17,17,0.7185,0.0252,0.7169
Layer 18,18,0.7218,0.0353,0.7193
Layer 19,19,0.7235,0.0222,0.7201
Layer 20,20,0.7037,0.0462,0.7011
Layer 21,21,0.7169,0.0273,0.7142
Layer 22,22,0.7169,0.0162,0.7146
Layer 23,23,0.7103,0.0341,0.7081
Layer 24,24,0.7004,0.0287,0.6978
