Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6292,0.0531,0.6288
Layer 1,1,0.7236,0.0319,0.7221
Layer 2,2,0.7616,0.0133,0.7591
Layer 3,3,0.8129,0.0314,0.8118
Layer 4,4,0.8494,0.0159,0.8483
Layer 5,5,0.8725,0.0169,0.8711
Layer 6,6,0.8957,0.0162,0.8946
Layer 7,7,0.8957,0.0248,0.8948
Layer 8,8,0.9023,0.0098,0.9007
Layer 9,9,0.9221,0.0262,0.9212
Layer 10,10,0.9321,0.0295,0.9316
Layer 11,11,0.9305,0.004,0.93
Layer 12,12,0.9354,0.0145,0.9349
Layer 13,13,0.9304,0.0257,0.9299
Layer 14,14,0.9271,0.016,0.927
Layer 15,15,0.9271,0.0242,0.9267
Layer 16,16,0.9238,0.0232,0.9237
Layer 17,17,0.9122,0.0265,0.9114
Layer 18,18,0.9288,0.0265,0.9282
Layer 19,19,0.9304,0.0267,0.9301
Layer 20,20,0.9188,0.025,0.9182
Layer 21,21,0.9172,0.0074,0.917
Layer 22,22,0.8974,0.0122,0.8966
Layer 23,23,0.8808,0.0194,0.8797
Layer 24,24,0.8725,0.0375,0.8722
