Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.1757,0.0075,0.1752
Layer 1,1,0.4607,0.0165,0.4592
Layer 2,2,0.5738,0.0247,0.5718
Layer 3,3,0.728,0.0125,0.7267
Layer 4,4,0.7573,0.0216,0.7566
Layer 5,5,0.7729,0.0142,0.7727
Layer 6,6,0.7634,0.0141,0.7628
Layer 7,7,0.734,0.0218,0.7333
Layer 8,8,0.6982,0.0175,0.6974
Layer 9,9,0.7811,0.0263,0.7804
Layer 10,10,0.7802,0.0336,0.7802
Layer 11,11,0.7297,0.026,0.7292
Layer 12,12,0.7047,0.0102,0.7039
Layer 13,13,0.6848,0.0154,0.685
Layer 14,14,0.7293,0.029,0.7284
Layer 15,15,0.7509,0.0243,0.75
Layer 16,16,0.7807,0.0211,0.7799
Layer 17,17,0.8031,0.0218,0.8024
Layer 18,18,0.7737,0.0312,0.7733
Layer 19,19,0.7401,0.0197,0.7392
Layer 20,20,0.7012,0.0269,0.7013
Layer 21,21,0.6632,0.0218,0.6626
Layer 22,22,0.6131,0.0394,0.6124
Layer 23,23,0.5786,0.0375,0.5765
Layer 24,24,0.4866,0.0308,0.4846
