Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4158,0.027,0.4118
Layer 1,1,0.5544,0.024,0.5527
Layer 2,2,0.6291,0.0369,0.6292
Layer 3,3,0.6576,0.0276,0.6572
Layer 4,4,0.7276,0.0318,0.7272
Layer 5,5,0.7586,0.0244,0.7586
Layer 6,6,0.7975,0.0224,0.7974
Layer 7,7,0.8053,0.032,0.8047
Layer 8,8,0.8428,0.013,0.8426
Layer 9,9,0.8472,0.0195,0.847
Layer 10,10,0.8614,0.0153,0.8612
Layer 11,11,0.8791,0.0161,0.8792
Layer 12,12,0.8929,0.0137,0.8928
Layer 13,13,0.8959,0.0078,0.8961
Layer 14,14,0.8933,0.019,0.8934
Layer 15,15,0.8899,0.012,0.8902
Layer 16,16,0.8838,0.0141,0.8838
Layer 17,17,0.8795,0.0112,0.8796
Layer 18,18,0.8761,0.0115,0.8757
Layer 19,19,0.8692,0.0113,0.869
Layer 20,20,0.8774,0.0091,0.8771
Layer 21,21,0.8731,0.0128,0.8729
Layer 22,22,0.8666,0.0065,0.867
Layer 23,23,0.8601,0.0151,0.8598
Layer 24,24,0.8515,0.0121,0.8509
