Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.639,0.0163,0.6388
Layer 1,1,0.6342,0.0114,0.6342
Layer 2,2,0.6306,0.0185,0.6305
Layer 3,3,0.6278,0.0076,0.6278
Layer 4,4,0.6368,0.0101,0.6366
Layer 5,5,0.6313,0.0208,0.631
Layer 6,6,0.6385,0.0119,0.6381
Layer 7,7,0.6218,0.0109,0.6214
Layer 8,8,0.6408,0.0109,0.6405
Layer 9,9,0.6381,0.0177,0.638
Layer 10,10,0.6278,0.0116,0.6275
Layer 11,11,0.6211,0.013,0.6208
Layer 12,12,0.6179,0.0095,0.6174
Layer 13,13,0.6103,0.011,0.6099
Layer 14,14,0.6044,0.007,0.6043
Layer 15,15,0.6152,0.0159,0.6148
Layer 16,16,0.6095,0.0191,0.6094
Layer 17,17,0.6101,0.0155,0.6099
Layer 18,18,0.6134,0.0184,0.6134
Layer 19,19,0.6156,0.0191,0.6154
Layer 20,20,0.6011,0.0132,0.6008
Layer 21,21,0.6011,0.0142,0.6006
Layer 22,22,0.5795,0.0166,0.5788
Layer 23,23,0.5487,0.0125,0.5482
Layer 24,24,0.4991,0.0143,0.4982
