Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4383,0.0219,0.4367
Layer 1,1,0.4711,0.0329,0.4696
Layer 2,2,0.5203,0.018,0.5198
Layer 3,3,0.5834,0.0289,0.5816
Layer 4,4,0.6136,0.0213,0.6135
Layer 5,5,0.6149,0.0171,0.6144
Layer 6,6,0.6291,0.0299,0.6283
Layer 7,7,0.6252,0.0372,0.6249
Layer 8,8,0.6231,0.0349,0.6228
Layer 9,9,0.6382,0.0194,0.6375
Layer 10,10,0.6481,0.0214,0.6465
Layer 11,11,0.6386,0.0274,0.6365
Layer 12,12,0.6326,0.0263,0.631
Layer 13,13,0.6023,0.0241,0.601
Layer 14,14,0.5989,0.0233,0.5987
Layer 15,15,0.6015,0.0149,0.6008
Layer 16,16,0.5803,0.012,0.58
Layer 17,17,0.5773,0.0281,0.5763
Layer 18,18,0.5566,0.0196,0.5552
Layer 19,19,0.5471,0.0346,0.5463
Layer 20,20,0.5514,0.0288,0.5506
Layer 21,21,0.5371,0.0265,0.5357
Layer 22,22,0.5406,0.0224,0.539
Layer 23,23,0.535,0.02,0.5331
Layer 24,24,0.5371,0.03,0.536
