Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5092,0.01,0.5085
Layer 1,1,0.5152,0.0066,0.5148
Layer 2,2,0.5009,0.013,0.5004
Layer 3,3,0.52,0.0131,0.5198
Layer 4,4,0.5249,0.016,0.5247
Layer 5,5,0.5181,0.0042,0.5178
Layer 6,6,0.5229,0.0095,0.5227
Layer 7,7,0.5269,0.0185,0.5266
Layer 8,8,0.5181,0.014,0.5175
Layer 9,9,0.5192,0.0101,0.519
Layer 10,10,0.5161,0.0115,0.5159
Layer 11,11,0.5218,0.0131,0.5215
Layer 12,12,0.5242,0.0169,0.5238
Layer 13,13,0.5192,0.0131,0.5185
Layer 14,14,0.5082,0.0167,0.5079
Layer 15,15,0.4971,0.016,0.4965
Layer 16,16,0.4969,0.02,0.4964
Layer 17,17,0.4974,0.013,0.4972
Layer 18,18,0.4921,0.0081,0.4917
Layer 19,19,0.4965,0.0094,0.496
Layer 20,20,0.4982,0.0075,0.4977
Layer 21,21,0.4903,0.0105,0.49
Layer 22,22,0.4905,0.0123,0.4902
Layer 23,23,0.483,0.0214,0.4825
Layer 24,24,0.4802,0.0169,0.48
