Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5168,0.0102,0.5157
Layer 1,1,0.5516,0.0194,0.5519
Layer 2,2,0.5663,0.0203,0.5662
Layer 3,3,0.5734,0.0101,0.5733
Layer 4,4,0.5872,0.0077,0.5868
Layer 5,5,0.6053,0.0173,0.6052
Layer 6,6,0.6073,0.0226,0.6074
Layer 7,7,0.6053,0.0226,0.605
Layer 8,8,0.6126,0.0096,0.6123
Layer 9,9,0.6299,0.0114,0.6297
Layer 10,10,0.6275,0.0166,0.6274
Layer 11,11,0.6372,0.0152,0.637
Layer 12,12,0.6407,0.0057,0.6404
Layer 13,13,0.6271,0.0093,0.6271
Layer 14,14,0.6364,0.0138,0.636
Layer 15,15,0.6386,0.0123,0.6382
Layer 16,16,0.6328,0.0173,0.6325
Layer 17,17,0.6346,0.0181,0.6346
Layer 18,18,0.6348,0.0209,0.6346
Layer 19,19,0.6564,0.0137,0.6564
Layer 20,20,0.6493,0.0134,0.6492
Layer 21,21,0.6443,0.0204,0.6441
Layer 22,22,0.646,0.0215,0.6457
Layer 23,23,0.6515,0.012,0.6512
Layer 24,24,0.643,0.0116,0.6427
