Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5682,0.0142,0.5472
Layer 1,1,0.5455,0.0067,0.5366
Layer 2,2,0.5513,0.0057,0.5443
Layer 3,3,0.549,0.0123,0.5438
Layer 4,4,0.5552,0.0045,0.5509
Layer 5,5,0.5549,0.0067,0.5512
Layer 6,6,0.5549,0.0073,0.5533
Layer 7,7,0.5559,0.0033,0.5541
Layer 8,8,0.5596,0.0043,0.5591
Layer 9,9,0.5679,0.0089,0.5664
Layer 10,10,0.5655,0.0059,0.5643
Layer 11,11,0.5682,0.0036,0.5675
Layer 12,12,0.5641,0.0101,0.5633
Layer 13,13,0.5666,0.0127,0.5663
Layer 14,14,0.5591,0.0104,0.5594
Layer 15,15,0.5584,0.0108,0.5579
Layer 16,16,0.5548,0.0043,0.5554
Layer 17,17,0.5599,0.0059,0.5593
Layer 18,18,0.55,0.0149,0.5475
Layer 19,19,0.5533,0.0035,0.5497
Layer 20,20,0.5461,0.0092,0.5421
Layer 21,21,0.5364,0.0109,0.5313
Layer 22,22,0.5385,0.0065,0.5302
Layer 23,23,0.5175,0.0125,0.5059
Layer 24,24,0.4966,0.0102,0.4858
