Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6374,0.0286,0.6359
Layer 1,1,0.7551,0.0273,0.7544
Layer 2,2,0.8056,0.0208,0.8046
Layer 3,3,0.8355,0.0248,0.833
Layer 4,4,0.8748,0.0362,0.8721
Layer 5,5,0.9196,0.0358,0.9184
Layer 6,6,0.9308,0.0095,0.9303
Layer 7,7,0.9439,0.0307,0.9431
Layer 8,8,0.9439,0.0283,0.943
Layer 9,9,0.9495,0.0268,0.9483
Layer 10,10,0.9607,0.0224,0.96
Layer 11,11,0.9607,0.0247,0.9603
Layer 12,12,0.9626,0.0177,0.9625
Layer 13,13,0.9664,0.0163,0.9661
Layer 14,14,0.9626,0.0167,0.9622
Layer 15,15,0.9589,0.0201,0.9588
Layer 16,16,0.9589,0.0173,0.9585
Layer 17,17,0.9645,0.0137,0.9642
Layer 18,18,0.9607,0.0124,0.9606
Layer 19,19,0.9607,0.0124,0.9607
Layer 20,20,0.9495,0.014,0.9494
Layer 21,21,0.9495,0.0127,0.9495
Layer 22,22,0.9402,0.0281,0.9398
Layer 23,23,0.9308,0.021,0.9302
Layer 24,24,0.9159,0.0132,0.9149
