Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3761,0.0064,0.3762
Layer 1,1,0.3959,0.0274,0.3952
Layer 2,2,0.437,0.0228,0.4368
Layer 3,3,0.4689,0.0291,0.4685
Layer 4,4,0.4685,0.0335,0.4686
Layer 5,5,0.5009,0.0254,0.5004
Layer 6,6,0.5268,0.0315,0.526
Layer 7,7,0.5708,0.0151,0.5686
Layer 8,8,0.5743,0.0263,0.5732
Layer 9,9,0.5782,0.0217,0.578
Layer 10,10,0.5678,0.0177,0.5673
Layer 11,11,0.5751,0.0182,0.5761
Layer 12,12,0.5665,0.0175,0.5656
Layer 13,13,0.5553,0.016,0.5551
Layer 14,14,0.5432,0.0202,0.5431
Layer 15,15,0.5358,0.026,0.5356
Layer 16,16,0.5294,0.0176,0.5305
Layer 17,17,0.5194,0.0274,0.5203
Layer 18,18,0.4991,0.0123,0.4984
Layer 19,19,0.5056,0.0067,0.5062
Layer 20,20,0.4741,0.0109,0.4752
Layer 21,21,0.4646,0.0096,0.4636
Layer 22,22,0.4236,0.0195,0.4237
Layer 23,23,0.3718,0.0169,0.371
Layer 24,24,0.304,0.0134,0.3036
