Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3667,0.0259,0.3654
Layer 1,1,0.3833,0.0339,0.38
Layer 2,2,0.3854,0.0432,0.3848
Layer 3,3,0.4521,0.0352,0.4461
Layer 4,4,0.4854,0.0577,0.4821
Layer 5,5,0.5,0.0489,0.4926
Layer 6,6,0.5083,0.0424,0.4976
Layer 7,7,0.5208,0.0604,0.5096
Layer 8,8,0.4854,0.0496,0.4798
Layer 9,9,0.4938,0.0513,0.4849
Layer 10,10,0.5,0.0342,0.4949
Layer 11,11,0.4708,0.0429,0.4654
Layer 12,12,0.4688,0.0147,0.4628
Layer 13,13,0.4792,0.0336,0.4749
Layer 14,14,0.4562,0.029,0.4527
Layer 15,15,0.4646,0.026,0.4562
Layer 16,16,0.4646,0.0333,0.4542
Layer 17,17,0.4667,0.0424,0.457
Layer 18,18,0.4667,0.0381,0.4533
Layer 19,19,0.4479,0.0208,0.435
Layer 20,20,0.4396,0.0121,0.4279
Layer 21,21,0.4417,0.0224,0.4278
Layer 22,22,0.4271,0.0329,0.4144
Layer 23,23,0.4354,0.0363,0.4192
Layer 24,24,0.4292,0.0403,0.4116
