Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4692,0.0122,0.4692
Layer 1,1,0.4647,0.0124,0.464
Layer 2,2,0.4615,0.0182,0.4612
Layer 3,3,0.4826,0.0131,0.4825
Layer 4,4,0.4729,0.0144,0.4723
Layer 5,5,0.4712,0.0182,0.4708
Layer 6,6,0.481,0.012,0.4804
Layer 7,7,0.4912,0.0203,0.4908
Layer 8,8,0.489,0.0053,0.4883
Layer 9,9,0.48,0.0113,0.4795
Layer 10,10,0.4947,0.0137,0.4943
Layer 11,11,0.4949,0.0191,0.4944
Layer 12,12,0.4806,0.0151,0.4802
Layer 13,13,0.4749,0.0164,0.4741
Layer 14,14,0.4705,0.0111,0.4699
Layer 15,15,0.4676,0.019,0.4672
Layer 16,16,0.4614,0.0144,0.4609
Layer 17,17,0.4665,0.0165,0.4655
Layer 18,18,0.4634,0.0195,0.4629
Layer 19,19,0.454,0.0166,0.4536
Layer 20,20,0.4471,0.0038,0.4466
Layer 21,21,0.4386,0.0145,0.4383
Layer 22,22,0.4275,0.0138,0.4273
Layer 23,23,0.3993,0.0068,0.3993
Layer 24,24,0.3663,0.0125,0.3662
