Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7732,0.0251,0.7726
Layer 1,1,0.8378,0.0234,0.8375
Layer 2,2,0.851,0.0136,0.8504
Layer 3,3,0.8791,0.0123,0.8798
Layer 4,4,0.899,0.0085,0.8985
Layer 5,5,0.9255,0.018,0.9258
Layer 6,6,0.9305,0.0243,0.9304
Layer 7,7,0.9321,0.0302,0.932
Layer 8,8,0.9156,0.0205,0.9149
Layer 9,9,0.9189,0.0142,0.9188
Layer 10,10,0.9254,0.0237,0.9253
Layer 11,11,0.8973,0.0365,0.8973
Layer 12,12,0.8411,0.0278,0.8394
Layer 13,13,0.8377,0.024,0.8367
Layer 14,14,0.8178,0.0188,0.8172
Layer 15,15,0.7698,0.0278,0.7692
Layer 16,16,0.7963,0.0207,0.7949
Layer 17,17,0.7699,0.012,0.7682
Layer 18,18,0.7815,0.0153,0.7811
Layer 19,19,0.7384,0.0372,0.7379
Layer 20,20,0.7317,0.0402,0.7304
Layer 21,21,0.687,0.0233,0.6878
Layer 22,22,0.624,0.0588,0.6249
Layer 23,23,0.4933,0.0303,0.4938
Layer 24,24,0.3873,0.0332,0.3825
