Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4663,0.0135,0.4642
Layer 1,1,0.5868,0.0217,0.5849
Layer 2,2,0.6628,0.0122,0.6626
Layer 3,3,0.7215,0.0182,0.7209
Layer 4,4,0.7284,0.0248,0.7278
Layer 5,5,0.744,0.0256,0.7435
Layer 6,6,0.7612,0.0288,0.761
Layer 7,7,0.763,0.012,0.7621
Layer 8,8,0.7681,0.017,0.7674
Layer 9,9,0.7897,0.0156,0.7894
Layer 10,10,0.7807,0.0175,0.7805
Layer 11,11,0.8001,0.0163,0.8
Layer 12,12,0.7941,0.0195,0.7943
Layer 13,13,0.7863,0.0295,0.7861
Layer 14,14,0.7733,0.0279,0.7726
Layer 15,15,0.7638,0.0244,0.7643
Layer 16,16,0.7457,0.0273,0.7454
Layer 17,17,0.7427,0.0254,0.743
Layer 18,18,0.7263,0.0208,0.7261
Layer 19,19,0.7202,0.0234,0.7194
Layer 20,20,0.715,0.023,0.7143
Layer 21,21,0.7021,0.0159,0.7007
Layer 22,22,0.6792,0.0158,0.679
Layer 23,23,0.6442,0.0181,0.6438
Layer 24,24,0.6174,0.02,0.6182
