Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.2333,0.0333,0.2294
Layer 1,1,0.5542,0.0325,0.5461
Layer 2,2,0.6,0.0491,0.5909
Layer 3,3,0.6771,0.0422,0.6737
Layer 4,4,0.7104,0.0386,0.7063
Layer 5,5,0.6917,0.0346,0.6857
Layer 6,6,0.7167,0.0408,0.7153
Layer 7,7,0.7271,0.0319,0.7207
Layer 8,8,0.65,0.0399,0.6453
Layer 9,9,0.7167,0.0357,0.7124
Layer 10,10,0.6729,0.0292,0.6703
Layer 11,11,0.6542,0.0369,0.6513
Layer 12,12,0.6667,0.0607,0.6609
Layer 13,13,0.6583,0.0167,0.6508
Layer 14,14,0.6688,0.0212,0.6631
Layer 15,15,0.6708,0.0538,0.6635
Layer 16,16,0.6812,0.0299,0.6758
Layer 17,17,0.7312,0.0695,0.7291
Layer 18,18,0.6688,0.0594,0.6612
Layer 19,19,0.6375,0.0444,0.6318
Layer 20,20,0.6,0.0546,0.5909
Layer 21,21,0.5521,0.0642,0.5414
Layer 22,22,0.5208,0.0582,0.5101
Layer 23,23,0.4771,0.0332,0.469
Layer 24,24,0.4,0.062,0.3907
