Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6458,0.0276,0.645
Layer 1,1,0.75,0.0165,0.7487
Layer 2,2,0.7848,0.0105,0.7818
Layer 3,3,0.8245,0.0129,0.8214
Layer 4,4,0.8328,0.0278,0.8311
Layer 5,5,0.8527,0.0282,0.8521
Layer 6,6,0.8891,0.0198,0.8887
Layer 7,7,0.899,0.0206,0.8986
Layer 8,8,0.9205,0.02,0.9201
Layer 9,9,0.9189,0.0274,0.9183
Layer 10,10,0.9056,0.0085,0.9052
Layer 11,11,0.904,0.0171,0.9036
Layer 12,12,0.894,0.023,0.8937
Layer 13,13,0.889,0.0126,0.8884
Layer 14,14,0.8577,0.0202,0.8574
Layer 15,15,0.8527,0.025,0.8517
Layer 16,16,0.8593,0.0337,0.8585
Layer 17,17,0.8461,0.0267,0.8453
Layer 18,18,0.8411,0.0245,0.8407
Layer 19,19,0.8378,0.0305,0.8377
Layer 20,20,0.8461,0.0268,0.8466
Layer 21,21,0.8527,0.0141,0.8524
Layer 22,22,0.8493,0.0236,0.8481
Layer 23,23,0.841,0.0231,0.84
Layer 24,24,0.8294,0.0231,0.8282
