Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6497,0.0187,0.6465
Layer 1,1,0.7529,0.0226,0.7514
Layer 2,2,0.7889,0.0266,0.788
Layer 3,3,0.8167,0.0158,0.8157
Layer 4,4,0.8376,0.0187,0.8369
Layer 5,5,0.8504,0.0285,0.8492
Layer 6,6,0.8458,0.0272,0.845
Layer 7,7,0.833,0.025,0.8315
Layer 8,8,0.8457,0.0214,0.8446
Layer 9,9,0.8353,0.0187,0.8343
Layer 10,10,0.8202,0.0143,0.8197
Layer 11,11,0.8155,0.0134,0.815
Layer 12,12,0.7982,0.0193,0.7974
Layer 13,13,0.7888,0.0144,0.7874
Layer 14,14,0.7587,0.0189,0.758
Layer 15,15,0.7552,0.0446,0.7538
Layer 16,16,0.7424,0.0152,0.7416
Layer 17,17,0.7413,0.0162,0.7406
Layer 18,18,0.7262,0.0316,0.7247
Layer 19,19,0.7112,0.0259,0.7094
Layer 20,20,0.7112,0.0205,0.7101
Layer 21,21,0.7066,0.0225,0.704
Layer 22,22,0.6891,0.0191,0.6892
Layer 23,23,0.6648,0.0412,0.6637
Layer 24,24,0.637,0.0498,0.6352
