Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.462,0.0397,0.4596
Layer 1,1,0.5977,0.0192,0.5916
Layer 2,2,0.6276,0.039,0.6247
Layer 3,3,0.6639,0.0189,0.6606
Layer 4,4,0.7118,0.0604,0.7097
Layer 5,5,0.7764,0.0416,0.7745
Layer 6,6,0.8046,0.0188,0.8037
Layer 7,7,0.8328,0.0212,0.8307
Layer 8,8,0.8278,0.0095,0.8257
Layer 9,9,0.846,0.0518,0.8453
Layer 10,10,0.8659,0.056,0.8642
Layer 11,11,0.8709,0.0264,0.8702
Layer 12,12,0.8708,0.0209,0.8687
Layer 13,13,0.8725,0.0258,0.8705
Layer 14,14,0.8493,0.017,0.8476
Layer 15,15,0.8444,0.0216,0.8425
Layer 16,16,0.8444,0.0097,0.843
Layer 17,17,0.8477,0.028,0.8466
Layer 18,18,0.8526,0.0177,0.8521
Layer 19,19,0.8328,0.0182,0.8331
Layer 20,20,0.8394,0.0151,0.8391
Layer 21,21,0.8294,0.0139,0.828
Layer 22,22,0.8344,0.0115,0.8337
Layer 23,23,0.8196,0.0149,0.819
Layer 24,24,0.7964,0.0159,0.7953
