Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4594,0.0282,0.4562
Layer 1,1,0.611,0.0264,0.6093
Layer 2,2,0.6731,0.0372,0.6727
Layer 3,3,0.696,0.0351,0.6956
Layer 4,4,0.7668,0.0268,0.7663
Layer 5,5,0.8066,0.0279,0.8062
Layer 6,6,0.8316,0.0211,0.8312
Layer 7,7,0.8359,0.0179,0.8353
Layer 8,8,0.8649,0.0162,0.8649
Layer 9,9,0.8687,0.0126,0.8688
Layer 10,10,0.8877,0.0137,0.8876
Layer 11,11,0.8998,0.0125,0.9001
Layer 12,12,0.9128,0.0149,0.9128
Layer 13,13,0.9167,0.0127,0.9166
Layer 14,14,0.9123,0.0204,0.9123
Layer 15,15,0.9115,0.0103,0.9116
Layer 16,16,0.9089,0.0106,0.909
Layer 17,17,0.8964,0.0162,0.8964
Layer 18,18,0.8981,0.0095,0.8981
Layer 19,19,0.8895,0.0087,0.8894
Layer 20,20,0.8938,0.0066,0.8939
Layer 21,21,0.8886,0.0129,0.8885
Layer 22,22,0.883,0.0176,0.8832
Layer 23,23,0.8804,0.0158,0.8801
Layer 24,24,0.8804,0.0094,0.8799
