Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.2566,0.0315,0.2529
Layer 1,1,0.586,0.016,0.5824
Layer 2,2,0.6987,0.0343,0.6993
Layer 3,3,0.8179,0.0311,0.8168
Layer 4,4,0.8857,0.0277,0.8844
Layer 5,5,0.904,0.0237,0.9032
Layer 6,6,0.8857,0.0289,0.8849
Layer 7,7,0.8791,0.024,0.8786
Layer 8,8,0.8461,0.0175,0.8458
Layer 9,9,0.8757,0.0374,0.8751
Layer 10,10,0.8642,0.0393,0.8636
Layer 11,11,0.8592,0.0346,0.8587
Layer 12,12,0.8245,0.0334,0.8235
Layer 13,13,0.7963,0.0229,0.7951
Layer 14,14,0.8278,0.0372,0.8264
Layer 15,15,0.8691,0.0332,0.8684
Layer 16,16,0.9122,0.0181,0.9118
Layer 17,17,0.9305,0.0192,0.9302
Layer 18,18,0.9057,0.0328,0.9057
Layer 19,19,0.8825,0.0204,0.8822
Layer 20,20,0.8693,0.0222,0.8696
Layer 21,21,0.8096,0.0219,0.809
Layer 22,22,0.7418,0.0275,0.7387
Layer 23,23,0.6954,0.0311,0.6923
Layer 24,24,0.6143,0.0535,0.6134
