Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5051,0.0594,0.4995
Layer 1,1,0.5696,0.0462,0.5676
Layer 2,2,0.606,0.0283,0.6034
Layer 3,3,0.654,0.0202,0.6516
Layer 4,4,0.6391,0.0285,0.6357
Layer 5,5,0.6656,0.0193,0.6622
Layer 6,6,0.6905,0.0242,0.6899
Layer 7,7,0.7252,0.0293,0.7249
Layer 8,8,0.7268,0.0155,0.728
Layer 9,9,0.7285,0.0206,0.7285
Layer 10,10,0.7037,0.0335,0.7034
Layer 11,11,0.7169,0.0293,0.7167
Layer 12,12,0.7005,0.0453,0.7015
Layer 13,13,0.6872,0.0427,0.6882
Layer 14,14,0.6823,0.0563,0.6815
Layer 15,15,0.674,0.0468,0.673
Layer 16,16,0.6326,0.0478,0.6329
Layer 17,17,0.6359,0.0485,0.6361
Layer 18,18,0.6343,0.0497,0.6343
Layer 19,19,0.621,0.0466,0.6212
Layer 20,20,0.6178,0.0736,0.6182
Layer 21,21,0.6127,0.035,0.6113
Layer 22,22,0.5845,0.0557,0.5837
Layer 23,23,0.5828,0.0405,0.5805
Layer 24,24,0.573,0.0644,0.5715
