Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4312,0.034,0.4294
Layer 1,1,0.5042,0.0459,0.4983
Layer 2,2,0.5021,0.0259,0.4953
Layer 3,3,0.5292,0.0508,0.523
Layer 4,4,0.5896,0.0327,0.5864
Layer 5,5,0.6083,0.0299,0.6029
Layer 6,6,0.5875,0.0182,0.5823
Layer 7,7,0.5833,0.0401,0.5782
Layer 8,8,0.5812,0.0503,0.5745
Layer 9,9,0.5938,0.0422,0.5884
Layer 10,10,0.5812,0.0392,0.573
Layer 11,11,0.5729,0.0174,0.5645
Layer 12,12,0.5896,0.026,0.5795
Layer 13,13,0.5854,0.0222,0.5758
Layer 14,14,0.5875,0.0352,0.5784
Layer 15,15,0.5729,0.0456,0.5663
Layer 16,16,0.5792,0.0464,0.5706
Layer 17,17,0.5812,0.0312,0.5704
Layer 18,18,0.5583,0.0284,0.5505
Layer 19,19,0.5292,0.0283,0.5202
Layer 20,20,0.5229,0.0222,0.5128
Layer 21,21,0.5333,0.029,0.5222
Layer 22,22,0.5271,0.0125,0.5182
Layer 23,23,0.5333,0.0369,0.5254
Layer 24,24,0.5292,0.0153,0.5198
