Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.714,0.0316,0.7084
Layer 1,1,0.8056,0.0298,0.8049
Layer 2,2,0.8598,0.0187,0.8586
Layer 3,3,0.9028,0.0218,0.9015
Layer 4,4,0.9252,0.0156,0.9245
Layer 5,5,0.9047,0.0161,0.9038
Layer 6,6,0.9121,0.0299,0.9112
Layer 7,7,0.9215,0.014,0.9206
Layer 8,8,0.9364,0.0181,0.9352
Layer 9,9,0.9439,0.0118,0.9435
Layer 10,10,0.9402,0.0095,0.9396
Layer 11,11,0.9458,0.015,0.9451
Layer 12,12,0.9533,0.0221,0.9531
Layer 13,13,0.9477,0.0192,0.9477
Layer 14,14,0.9327,0.0109,0.9325
Layer 15,15,0.9271,0.0137,0.9264
Layer 16,16,0.9215,0.0173,0.9211
Layer 17,17,0.9215,0.0075,0.921
Layer 18,18,0.9196,0.0075,0.919
Layer 19,19,0.9103,0.0095,0.9093
Layer 20,20,0.9159,0.0229,0.9149
Layer 21,21,0.9178,0.0309,0.9165
Layer 22,22,0.9178,0.0239,0.9173
Layer 23,23,0.8991,0.026,0.8984
Layer 24,24,0.8804,0.0191,0.8792
