Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5603,0.0174,0.5585
Layer 1,1,0.6126,0.0344,0.6107
Layer 2,2,0.652,0.0243,0.6498
Layer 3,3,0.6949,0.0123,0.6944
Layer 4,4,0.6798,0.0188,0.6813
Layer 5,5,0.6844,0.0253,0.6843
Layer 6,6,0.6995,0.0237,0.6993
Layer 7,7,0.7042,0.0453,0.703
Layer 8,8,0.6508,0.0277,0.6503
Layer 9,9,0.6275,0.0474,0.6253
Layer 10,10,0.6009,0.0194,0.5974
Layer 11,11,0.5534,0.0262,0.553
Layer 12,12,0.5,0.0157,0.5004
Layer 13,13,0.493,0.0391,0.493
Layer 14,14,0.4837,0.0283,0.4851
Layer 15,15,0.4582,0.0102,0.4573
Layer 16,16,0.4583,0.0152,0.4566
Layer 17,17,0.4489,0.0316,0.4477
Layer 18,18,0.4304,0.0155,0.4296
Layer 19,19,0.4049,0.0294,0.4058
Layer 20,20,0.3875,0.028,0.3893
Layer 21,21,0.3341,0.0322,0.3327
Layer 22,22,0.3133,0.0106,0.3138
Layer 23,23,0.3097,0.048,0.311
Layer 24,24,0.2691,0.0166,0.2698
