Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.4292,0.0424,0.4253
Layer 1,1,0.5167,0.0292,0.5094
Layer 2,2,0.525,0.0705,0.5198
Layer 3,3,0.5646,0.0609,0.5614
Layer 4,4,0.6188,0.0204,0.6146
Layer 5,5,0.6604,0.0376,0.657
Layer 6,6,0.6875,0.0442,0.6839
Layer 7,7,0.7188,0.0475,0.7143
Layer 8,8,0.6938,0.053,0.6884
Layer 9,9,0.7292,0.0422,0.7257
Layer 10,10,0.75,0.0427,0.7484
Layer 11,11,0.7792,0.029,0.7761
Layer 12,12,0.75,0.0316,0.7458
Layer 13,13,0.7146,0.0252,0.7128
Layer 14,14,0.7375,0.0275,0.7348
Layer 15,15,0.7375,0.0232,0.7329
Layer 16,16,0.7625,0.0241,0.7577
Layer 17,17,0.7604,0.0316,0.7564
Layer 18,18,0.7604,0.0161,0.7557
Layer 19,19,0.7625,0.0179,0.758
Layer 20,20,0.7521,0.0283,0.7468
Layer 21,21,0.7688,0.0202,0.7634
Layer 22,22,0.7292,0.0367,0.7214
Layer 23,23,0.7333,0.034,0.7273
Layer 24,24,0.75,0.0147,0.7453
